portfolio,total_return,cagr,max_drawdown,sharpe,sortino,volatility,calmar
JPY Multi-Asset Trend v1,6.184631432646909,0.10584305933652494,-0.28203688657721326,0.7196094039476918,0.8860224032891237,0.15826376541935422,0.3752809096038162
SPY Buy & Hold JPY,7.844308922043426,0.1176311664700953,-0.6441888820397323,0.576582548860172,0.7032137257176317,0.2474752751888558,0.18260353407161106
QQQ Buy & Hold JPY,25.181092501974426,0.18125947209462479,-0.627035993795736,0.756883686644929,0.9806761422789254,0.2697161492518477,0.28907347247703946
Static Equal Weight,8.19487766355229,0.11984991464370132,-0.40932166171103457,0.7444227934850493,0.9566386304678246,0.17329176252718256,0.29280129994271054
