date,Strategy,SPY JPY,QQQ JPY,Static Equal Weight,Strategy Drawdown,SPY JPY Drawdown,QQQ JPY Drawdown,Static Equal Weight Drawdown
2007-01-03,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0
2007-01-04,100000.0,99783.95639209994,101498.85389817128,100000.0,0.0,-0.002160436079000627,0.0,0.0
2007-01-05,100000.0,98871.42870049315,100886.55929581609,100000.0,0.0,-0.01128571299506842,-0.006032527253652331,0.0
2007-01-08,100000.0,99328.71081727197,100956.94699201139,100000.0,0.0,-0.006712891827280298,-0.005339044583730468,0.0
2007-01-09,100000.0,99754.34996264159,101994.63886444768,100000.0,0.0,-0.002456500373584136,0.0,0.0
2007-01-10,100000.0,100262.87813112316,103402.65846136531,100000.0,0.0,0.0,0.0,0.0
2007-01-11,100000.0,101367.74256577756,105180.10263207954,100000.0,0.0,0.0,0.0,0.0
2007-01-12,100000.0,102137.84077899864,105727.0617126995,100000.0,0.0,0.0,0.0,0.0
2007-01-16,100000.0,102353.39343403536,106086.06897872899,100000.0,0.0,0.0,0.0,0.0
2007-01-17,100000.0,102252.23972758141,105054.53370303013,100000.0,0.0,-0.0009882789721000762,-0.009723569603711901,0.0
2007-01-18,100000.0,102449.78417345014,103622.38411250702,100000.0,0.0,0.0,-0.023223453276565054,0.0
2007-01-19,100000.0,102608.70310776104,103795.30060285518,100000.0,0.0,0.0,-0.021593489116211173,0.0
2007-01-22,100000.0,102638.59993275815,102992.39270671074,100000.0,0.0,0.0,-0.02916194653832016,0.0
2007-01-23,100000.0,102992.15168206092,102778.61100287596,100000.0,0.0,0.0,-0.031177118802622417,0.0
2007-01-24,100000.0,103138.98009290632,103823.35265482863,100000.0,0.0,0.0,-0.021329061823886053,0.0
2007-01-25,100000.0,102552.09458072788,103088.55977267565,100000.0,0.0,-0.005690239632482164,-0.02825544611945563,0.0
2007-01-26,100000.0,102303.05639174284,102526.5545382362,100000.0,0.0,-0.008104828071893833,-0.03355308076507668,0.0
2007-01-29,100000.0,102493.32771483657,102893.03727016017,100000.0,0.0,-0.0062600229078099145,-0.03009850152152438,0.0
2007-01-30,100000.0,102984.93934649129,102898.87913533296,100000.0,0.0,-0.0014935259809266688,-0.03004343429894729,0.0
2007-01-31,100000.0,102876.39541164806,103154.14815916786,100000.0,0.0,-0.0025459305591516435,-0.027637189762861336,0.0
2007-02-01,100000.0,103543.29786506978,103086.0152085288,99633.57056132154,0.0,0.0,-0.028279431965772206,-0.0036642943867846167
2007-02-02,100000.0,103969.74593976814,103702.84803598601,99682.57009677817,0.0,0.0,-0.02246497552115756,-0.0031742990322182196
2007-02-05,100000.0,103191.41444189717,102803.05530767236,98931.66113671965,0.0,-0.007486134459940619,-0.030946699247710763,-0.010683388632803492
2007-02-06,100000.0,103099.67818412738,102517.18866607473,99035.13642784578,0.0,-0.008368470537042705,-0.033641366364228764,-0.009648635721542287
2007-02-07,100000.0,103787.85386502715,103951.37457057287,99761.34503717082,0.0,-0.0017494711860348566,-0.02012228776790803,-0.0023865496282918786
2007-02-08,100000.0,104120.52037919704,104397.25020181443,100520.55166686999,0.0,0.0,-0.015919326572965797,0.0
2007-02-09,100000.0,103839.95214959803,103429.49834005613,100613.34462842614,0.0,-0.0026946487452925716,-0.02504165404795533,0.0
2007-02-12,100000.0,103537.47475311361,103143.48459562655,100288.82603712656,0.0,-0.005599718710202706,-0.027737707801129385,-0.003225403076481115
2007-02-13,100000.0,103982.09138645756,103103.5281871538,100226.9076866304,0.0,-0.0013295073078326558,-0.02811434922876821,-0.0038408120038440074
2007-02-14,100000.0,103836.40452095262,104047.26632501427,100366.76949906515,0.0,-0.002728721074478857,-0.01921838252036201,-0.0024507199345337183
2007-02-15,100000.0,103176.83363015912,103865.25204373247,99834.11489379186,0.0,-0.009063407919986388,-0.020934105263546,-0.007744795061848331
2007-02-16,100000.0,103144.57681896254,103528.58165802767,99761.61770762307,0.0,-0.009373210551389954,-0.024107664138390383,-0.00846534745414318
2007-02-20,100000.0,103887.6861134777,104859.74617240019,100146.68330638952,0.0,-0.002236199597076327,-0.011559696934143937,-0.004638165282746964
2007-02-21,100000.0,104645.37874411435,106002.64451510979,101739.55497507799,0.0,0.0,-0.0007863847197121521,0.0
2007-02-22,100000.0,105042.05975882766,107037.07927963593,102202.02370718209,0.0,0.0,0.0,0.0
2007-02-23,100000.0,104287.10272502346,106301.6715579127,101993.06058132544,0.0,-0.007187188022945712,-0.006870588460303195,-0.002044608494792155
2007-02-26,100000.0,103806.59001863348,105381.97438553571,101689.02073955376,0.0,-0.011761667117255459,-0.015462911593245532,-0.0050194991157721525
2007-02-27,100000.0,97643.65747176959,98835.8526661,96739.38946588642,0.0,-0.07043276097255236,-0.0766204260124671,-0.05344937451480025
2007-02-28,100000.0,99179.21209701763,99700.09549459488,97901.9527087227,0.0,-0.05581428691774404,-0.0685461882407411,-0.04207422556308149
2007-03-01,100000.0,98042.4631279442,98386.55900509292,96684.78158278817,0.0,-0.06663613267822677,-0.0808179775902087,-0.05398368764400696
2007-03-02,100000.0,96322.95572151082,96437.81018582481,94864.0474963472,0.0,-0.08300583649383442,-0.09902427425285376,-0.071798736900346
2007-03-05,100000.0,94103.46946277143,94367.0936821104,92893.15544572366,0.0,-0.10413533703709532,-0.11837006094332048,-0.0910830130734902
2007-03-06,100000.0,96698.91347567989,96954.5555265627,95062.41130132374,0.0,-0.07942672013766006,-0.09419655152148243,-0.06985783790655631
2007-03-07,100000.0,95700.34707577834,95660.82312362046,94151.18076468112,0.0,-0.08893306837753867,-0.10628332006607577,-0.07877381142243667
2007-03-08,100000.0,97727.45004898806,97539.64151877853,95771.41482314162,0.0,-0.0696350559636173,-0.08873035236738103,-0.06292056312372774
2007-03-09,100000.0,98731.5244108596,98420.22979390895,96490.58742701143,0.0,-0.060076271947225646,-0.08050340633095321,-0.05588378852980869
2007-03-12,100000.0,98252.0339056496,98447.12191002342,96186.95764596833,0.0,-0.06464101969028102,-0.08025216520689182,-0.05885466689434116
2007-03-13,100000.0,95072.45538888453,95222.70851035656,93846.31875212694,0.0,-0.09491059479253305,-0.1103764307545626,-0.08175674660802201
2007-03-14,100000.0,96804.46245036756,97677.58831219052,95431.466163298,0.0,-0.07842189430951074,-0.08744157660537055,-0.06624680508560521
2007-03-15,100000.0,96845.58376003099,97354.37640603,95305.66831431753,0.0,-0.07803041960159052,-0.09046120221862297,-0.06747767943052896
2007-03-16,100000.0,95856.2063302946,96936.75922852206,95019.85609104623,0.0,-0.08744928888126724,-0.09436281444794137,-0.07027422115156368
2007-03-19,100000.0,97734.74578638215,98682.7750551108,96282.35034882325,0.0,-0.06956560057202621,-0.07805056229813023,-0.057921292980648076
2007-03-20,100000.0,97970.71395466261,99099.67278754292,96525.41628946607,0.0,-0.06731918452856478,-0.07415567152534519,-0.05554300406007617
2007-03-21,100000.0,99718.95210848472,101185.723321816,97775.7833436252,0.0,-0.050675964109658356,-0.054666625782390676,-0.04330873502307997
2007-03-22,100000.0,100219.49015578188,101398.01536328044,98126.88528836955,0.0,-0.045910843847866256,-0.0526832753126919,-0.03987336327593838
2007-03-23,100000.0,100332.48970722817,101036.76689261627,97788.5847278515,0.0,-0.04483508855797824,-0.05605825969282807,-0.04318347934063893
2007-03-26,100000.0,100258.95835595338,101517.2381110321,98190.23996875976,0.0,-0.04553510673587402,-0.05156943001203507,-0.03925346674070218
2007-03-27,100000.0,99707.60474370701,100477.21375351599,97587.8771681596,0.0,-0.050783990978169546,-0.06128591671473216,-0.04514731090102908
2007-03-28,100000.0,98242.01400194282,98639.7961152144,96533.8402786303,0.0,-0.06473640913456447,-0.07845209548817667,-0.055460579183751135
2007-03-29,100000.0,99279.98625079036,99693.3347132596,97324.94971499685,0.0,-0.054854917366117806,-0.06860935122482836,-0.04771993562630905
2007-03-30,100000.0,99157.87548732043,99456.46702399611,97170.51595201297,0.0,-0.056017411359003066,-0.07082230108162202,-0.049230999276343446
2007-04-02,100000.0,99227.47529736163,99554.01969735176,97254.1826980223,0.0,-0.05535482143834658,-0.06991090968331237,-0.048412358480648066
2007-04-03,100000.0,101240.79325505828,101832.64027868876,98733.66917209828,0.0,-0.036188042318447855,-0.04862276732486781,-0.03393626084177115
2007-04-04,100000.0,101268.2563356571,102169.84188591401,99185.6768260584,0.0,-0.035926593898054304,-0.04547244213387214,-0.029513572938299037
