year,SPY_JPY,QQQ_JPY,Strategy_JPY,USDJPY
2007,-0.032407413394510365,0.11505093838210723,0.0,-0.06443769941335509
2008,-0.49889228179021716,-0.5325758036556751,-0.10288396112669895,-0.18808777172414504
2009,0.27124359175192514,0.6084118699720802,0.07923464084437115,0.019525610736601973
2010,-0.014711638348310907,0.050615482765614894,-0.05297610025777144,-0.11837259282361468
2011,-0.04878986566084309,-0.014135990577150426,-0.013596051760362715,-0.04689502476041829
2012,0.256033977984248,0.31039066838368345,0.09223941295235694,0.1068904166650293
2013,0.583152361101335,0.673617109317334,0.6158172987672204,0.2207305633494927
2014,0.286007012112643,0.35879757515994015,0.3221905661166009,0.138410832876674
2015,0.020751277381712896,0.10419136213590252,-0.03897588020176879,0.008304146759668063
2016,0.0754420957328723,0.03496783139298243,-0.0923879998921242,-0.03472809267918775
2017,0.1815998052617629,0.2891669514477069,0.2189009455309674,-0.029174214014931255
2018,-0.06720875614657862,-0.023791266640293074,-0.06089504859441386,-0.022547049115795414
2019,0.29490668029161915,0.37317952772314156,0.07072928797356548,-0.013205843453651944
2020,0.12079847329353743,0.4079739510039062,0.06519018558791911,-0.052832188360053545
2021,0.43637257703843124,0.4217521843184202,0.4004961684369388,0.1158057145326099
2022,-0.05479419301358801,-0.22115707035740984,-0.17919808885922317,0.15515844604177675
2023,0.34258288699107986,0.6477486936214873,0.23232545067962374,0.06405543565945737
2024,0.3863053465236863,0.39594690759884577,0.4351173699288875,0.11005446685617937
2025,0.1728267381977313,0.20324795230527082,0.34958181703761726,-0.0037071292112679233
2026,0.15040048461190247,0.18734887242863474,0.08959189140829538,0.00944942004834326
