signal_date,selected,usdjpy,SPY_usd_close,SPY_jpy_price,SPY_momentum,SPY_sma,SPY_above_sma,SPY_eligible,SPY_rank,SPY_weight,QQQ_usd_close,QQQ_jpy_price,QQQ_momentum,QQQ_sma,QQQ_above_sma,QQQ_eligible,QQQ_rank,QQQ_weight,GLD_usd_close,GLD_jpy_price,GLD_momentum,GLD_sma,GLD_above_sma,GLD_eligible,GLD_rank,GLD_weight,IEF_usd_close,IEF_jpy_price,IEF_momentum,IEF_sma,IEF_above_sma,IEF_eligible,IEF_rank,IEF_weight,JPY_CASH_weight
2007-01-31,,120.73999786376952,117.585674087,14197.294038074278,,,False,False,,0.0,37.141728697,4484.492243532487,,,False,False,,0.0,64.83,7827.574061508178,,,False,False,,0.0,49.801008908,6012.973709165487,,,False,False,,0.0,1.0
2007-02-28,,118.7300033569336,115.278949907,13687.07010944189,,,False,False,,0.0,36.505783542,4334.331802489151,,,False,False,,0.0,66.48,7893.170623168946,,,False,False,,0.0,50.830202808,6035.070150027455,,,False,False,,0.0,1.0
2007-03-30,,117.80999755859376,116.154196316,13684.12558440838,,,False,False,,0.0,36.70096309,4323.74037203094,,,False,False,,0.0,65.74,7744.829239501953,,,False,False,,0.0,50.759411278,5979.966118736837,,,False,False,,0.0,1.0
2007-04-30,,119.36000061035156,121.29933642,14478.28886912644,,,False,False,,0.0,38.790570304,4630.042495161325,,,False,False,,0.0,67.09,8007.862440948486,,,False,False,,0.0,51.068911544,6095.585313061831,,,False,False,,0.0,1.0
2007-05-31,,121.75,125.413812529,15269.13167540575,,,False,False,,0.0,40.037455267,4874.56017875725,,,False,False,,0.0,65.54,7979.495000000001,,,False,False,,0.0,50.353660826,6130.5582055655,,,False,False,,0.0,1.0
2007-06-29,,123.16000366210938,123.049829238,15154.817419574014,,,False,False,,0.0,40.232774271,4955.0686265531795,,,False,False,,0.0,64.27,7915.493435363769,,,False,False,,0.0,50.117023256,6172.4127677429815,,,False,False,,0.0,1.0
2007-07-31,,118.41999816894533,119.197109064,14115.321437102457,,,False,False,,0.0,40.172532863,4757.231268078356,,,False,False,,0.0,65.79,7790.851679534914,,,False,False,,0.0,51.254559445,6069.564835626999,,,False,False,,0.0,1.0
2007-08-31,,115.7699966430664,120.726745311,13976.534899382803,,,False,False,,0.0,41.325725537,4784.279106690773,,,False,False,,0.0,66.52,7701.020176696777,,,False,False,,0.0,52.420837681,6068.760202356099,,,False,False,,0.0,1.0
2007-09-28,,114.73999786376952,124.808501928,14320.527244598994,,,False,False,,0.0,43.534632605,4995.163652097691,,,False,False,,0.0,73.51,8434.537242965698,,,False,False,,0.0,52.467118652,6020.077082048622,,,False,False,,0.0,1.0
2007-10-31,,115.38999938964844,126.501735635,14597.035197712119,,14348.014647482714,True,False,,0.0,46.651593857,5383.127386685357,,4752.203713207651,True,False,,0.0,78.62,9071.96175201416,,8036.679565170288,True,False,,0.0,53.035236512,6119.735908749541,,6070.470429308136,True,False,,0.0,1.0
