date,SPY_jpy_price,QQQ_jpy_price,GLD_jpy_price,IEF_jpy_price,Strategy_equity,USDJPY
2007-01-03,13800.34164422795,4347.369760266812,7432.494971923828,5984.740098785346,100000.0,119.33999633789062
2007-01-04,13770.526888237226,4412.5304813864905,7325.86961288452,5978.7327312183525,100000.0,118.83000183105467
2007-01-05,13644.594949197302,4385.911770999955,7141.577446899413,5954.3154597567855,100000.0,118.69000244140624
2007-01-08,13707.701443590739,4388.971784419297,7178.371347656249,5958.651580012928,100000.0,118.69000244140624
2007-01-09,13766.441099823316,4434.084087086339,7259.405185699462,5987.827784537533,100000.0,119.3000030517578
2007-01-10,13836.619724430906,4495.295905261368,7241.111029434205,5988.163400022999,100000.0,119.51000213623048
2007-01-11,13989.094791118783,4572.5679756446225,7293.789185028076,6011.605476816374,100000.0,120.3000030517578
2007-01-12,14095.370975539385,4596.346309316528,7479.051189727783,5999.132362397258,100000.0,120.3000030517578
2007-01-16,14125.117978357657,4611.953682637055,7485.356356735229,6035.354841925769,100000.0,120.79000091552734
2007-01-17,14111.158421281214,4567.109029994838,7555.6369720459,6015.090138594083,100000.0,120.62000274658205
2007-01-18,14138.420229710297,4504.848191774651,7549.64773300171,6055.140935404949,100000.0,121.26000213623048
2007-01-19,14160.351585582568,4512.365510986562,7636.229942321777,6043.03360850681,100000.0,121.20999908447266
2007-01-22,14164.477449572943,4477.460135906784,7628.006572265625,6074.601159991912,100000.0,121.62000274658205
2007-01-23,14213.26879886587,4468.166254761287,7815.506419601441,6059.786779123502,100000.0,121.68000030517578
2007-01-24,14233.531621193326,4513.58503741119,7776.210223312377,6020.683070020852,100000.0,120.87999725341795
2007-01-25,14152.539415452224,4481.6408738518785,7790.977375946046,6033.804177145701,100000.0,121.62000274658205
2007-01-26,14118.17129454769,4457.208428238741,7782.38123474121,6022.645232816592,100000.0,121.41000366210938
2007-01-29,14144.429387185619,4473.140787703003,7762.722314071656,6034.064481250287,100000.0,121.7300033569336
2007-01-30,14212.273471916735,4473.394755182961,7814.2896195983885,6037.522901614703,100000.0,121.68000030517578
2007-01-31,14197.294038074278,4484.492243532487,7827.574061508178,6012.973709165487,100000.0,120.73999786376952
2007-02-01,14289.328855080215,4481.530252239628,7878.576199035643,6011.604514773734,100000.0,120.8000030517578
2007-02-02,14348.180146323819,4508.346256051901,7786.236223449706,6033.217745587982,100000.0,121.12999725341795
2007-02-05,14240.767740492991,4469.228939076113,7729.419057006835,5993.021144388016,100000.0,120.19000244140624
2007-02-06,14228.107823509128,4456.801259144608,7778.039697723389,6002.944734124341,100000.0,120.0500030517578
2007-02-07,14323.078418585792,4519.150623462769,7793.408490829467,6042.984975952996,100000.0,120.58499908447266
2007-02-08,14368.98753407718,4538.534485823763,7936.437420043944,6071.780130076043,100000.0,121.12999725341795
2007-02-09,14330.268159847352,4496.462734031264,8047.465139465333,6082.2250071273675,100000.0,121.70999908447266
2007-02-12,14288.525245735938,4484.028658995726,7996.6356795501715,6077.022742806339,100000.0,121.7699966430664
2007-02-13,14349.883860144466,4482.291606176493,7984.416578979492,6047.540976241795,100000.0,121.2699966430664
2007-02-14,14329.778574974018,4523.319392597944,7984.974537963869,6034.359524804746,100000.0,120.30999755859376
2007-02-15,14238.755538658637,4515.406558774132,7928.689859466553,5997.717510257287,100000.0,119.38999938964844
2007-02-16,14234.303988509977,4500.770252234228,7924.047843017578,6005.301939103531,100000.0,119.41000366210938
2007-02-20,14336.85560994308,4558.640895791462,7838.17961013794,6043.075630633584,100000.0,120.01499938964844
2007-02-21,14441.419781584076,4608.3269127330095,8136.843364257812,6088.911582645856,100000.0,120.94000244140624
2007-02-22,14496.163116852302,4653.297616875706,8158.053356552124,6100.982398581298,100000.0,121.48999786376952
2007-02-23,14391.976466920194,4621.326723966843,8200.214552001953,6105.359330596243,100000.0,121.08999633789062
2007-02-26,14325.664071794452,4581.344087208897,8215.583958435058,6101.873673550991,100000.0,120.63999938964844
2007-02-27,13475.158325023916,4296.759971107891,7724.266660461425,6023.504673793282,100000.0,118.08999633789062
2007-02-28,13687.07010944189,4334.331802489151,7893.170623168946,6035.070150027455,100000.0,118.7300033569336
2007-03-01,13530.194868072516,4277.227514354473,7748.330480346679,5991.305880574209,100000.0,117.72000122070312
2007-03-02,13292.896971386908,4192.508197482055,7466.175055541991,5981.607800108278,100000.0,117.19000244140624
2007-03-05,12986.600284934178,4102.486494378721,7274.078469543457,5903.490367307056,100000.0,115.58999633789062
2007-03-06,13344.780425900206,4214.973028162882,7491.436921691895,5956.376527169485,100000.0,116.77999877929688
2007-03-07,13206.974851169323,4158.7296968985975,7438.867156982421,5911.440419623334,100000.0,115.69000244140624
2007-03-08,13486.721986952569,4240.40887966003,7553.832098388672,5985.322764652736,100000.0,117.1500015258789
2007-03-09,13625.28767925294,4278.691308045504,7602.059980392456,6010.940936918735,100000.0,118.31999969482422
2007-03-12,13559.116351382329,4279.860407769361,7567.980880355835,5989.4489494853415,100000.0,117.56999969482422
2007-03-13,13120.32365322227,4139.683234686253,7392.794186096191,5936.8539571304045,100000.0,116.0199966430664
2007-03-14,13359.346545009083,4246.40593684208,7497.604536590577,5992.383340903515,100000.0,117.26000213623048
2007-03-15,13365.021426231218,4232.354720172076,7495.257097625732,5980.285661116828,100000.0,117.1500015258789
2007-03-16,13228.483960776715,4214.199357283416,7543.738661956787,5958.638682985662,100000.0,116.73999786376952
2007-03-19,13487.728823638417,4290.105121338008,7614.0714395141595,5995.098802065982,100000.0,117.61000061035156
2007-03-20,13520.293237032749,4308.2292072889995,7652.907499999999,5985.390393794,100000.0,117.25
2007-03-21,13761.556075014943,4398.917537399871,7727.926441040038,6002.212476853468,100000.0,117.41000366210938
2007-03-22,13830.632035601298,4408.1466574139495,7765.598159179688,6016.6648543236615,100000.0,118.08999633789062
2007-03-23,13846.226359757331,4392.441850640869,7690.9576988220215,6005.200715797843,100000.0,118.0500030517578
2007-03-26,13836.078782065793,4413.329711097065,7777.020980834962,6013.840409367815,100000.0,118.12000274658205
2007-03-27,13759.990099908,4368.116006679,7736.175,5993.55592639575,100000.0,117.75
2007-03-28,13557.73357043837,4288.236667901668,7719.263681411744,5948.045595119973,100000.0,116.87000274658205
2007-03-29,13700.977286951605,4334.037886325824,7745.387220382691,5995.84235752169,100000.0,117.9800033569336
2007-03-30,13684.12558440838,4323.74037203094,7744.829239501953,5979.966118736837,100000.0,117.80999755859376
2007-04-02,13693.7305959778,4327.9813474527355,7754.496140670776,5984.103127675526,100000.0,117.76000213623048
2007-04-03,13971.57535252453,4427.041409556997,7825.2122808074955,6035.378083442072,100000.0,118.87000274658205
2007-04-04,13975.365351473198,4441.7008102606405,7935.0234757232665,6039.821348186603,100000.0,118.7699966430664
2007-04-05,14004.052375864318,4461.238436113205,7935.747209777832,6020.485283233504,100000.0,118.69200134277344
2007-04-09,14085.853316434239,4469.807027607932,7931.706681213379,6019.331663426458,100000.0,119.22000122070312
2007-04-10,14090.603058467397,4489.617638766806,8000.09938446045,6026.769868192059,100000.0,119.12000274658205
2007-04-11,14053.14114992863,4447.812277685266,8001.973261413574,6028.014963930652,100000.0,119.29000091552734
2007-04-12,14081.275060832,4472.8150835060005,7971.8099999999995,6019.230851221,100000.0,119.0
2007-04-13,14172.860262546757,4490.6876973556155,8088.563427734375,6020.57187512269,100000.0,119.2300033569336
2007-04-16,14371.048953477119,4552.873091922869,8191.584146118165,6053.9807104123,100000.0,119.76000213623048
2007-04-17,14311.796193014265,4532.3081710183405,8088.59979248047,6038.706138938489,100000.0,118.9499969482422
2007-04-18,14269.07762395723,4497.978214080481,8099.610791320802,6027.200380740095,100000.0,118.4499969482422
2007-04-19,14241.115913783,4504.6195874295,7985.422500000001,6016.29458373625,100000.0,118.25
2007-04-20,14425.410287774452,4545.747828390922,8151.942251586915,6030.5693843544095,100000.0,118.66000366210938
2007-04-23,14360.154868902166,4549.437120644677,8093.588179168702,6038.424579303907,100000.0,118.56999969482422
2007-04-24,14355.07021276693,4569.417214971708,8024.650627365113,6045.530707602686,100000.0,118.4800033569336
2007-04-25,14511.328975392078,4639.384280102272,8057.185220718384,6052.0766039549735,100000.0,118.68000030517578
2007-04-26,14631.882202373385,4697.2807475057825,7992.971018371582,6077.732744406671,100000.0,119.52999877929688
2007-04-27,14614.034197730889,4697.3708976655735,8072.069026794434,6075.190630973467,100000.0,119.4800033569336
2007-04-30,14478.28886912644,4630.042495161325,8007.862440948486,6095.585313061831,100000.0,119.36000061035156
