dimension,parameter,value,net_return,cagr,sharpe,trades,selection_allowed
stress_return,stress_return_threshold,-0.045,-0.0026699898357577245,-0.00013639494586104028,-0.002042690141664754,10,False
stress_return,stress_return_threshold,-0.055,0.01273301665033566,0.0006457419059078262,0.05616404277178424,7,False
entry_rsi,entry_rsi_threshold,12.0,-0.007500121611140775,-0.00038402235632428727,-0.024266713044228057,6,False
entry_rsi,entry_rsi_threshold,18.0,0.0030043531004728674,0.00015306309803353457,0.01821137963168288,8,False
max_holding,maximum_holding_days,4.0,0.0028468901755125398,0.00014505162857969545,0.017665622049962824,8,False
max_holding,maximum_holding_days,6.0,0.010825135995631285,0.0005494781145833905,0.04765768559060997,8,False
