year,net_return
2007,0.0
2008,0.0
2009,0.0
2010,0.011246234280783751
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,-0.0007706823717064104
2019,0.0
2020,-0.016444101072458417
2021,0.0
2022,0.0
2023,0.0
2024,0.009210325423202548
2025,0.0
2026,0.0
