date,cash_jpy,equity_jpy,QUAL_value_jpy,QUAL_weight,USMV_value_jpy,USMV_weight,SPY_value_jpy,SPY_weight,QQQ_value_jpy,QQQ_weight,market_weight
2013-10-30,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-31,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-04,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-06,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-07,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-08,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-11,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-13,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-14,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-15,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-19,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-20,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-21,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-22,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-25,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-27,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-29,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-02,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-03,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-04,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-06,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-09,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-10,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-11,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-12,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-13,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-16,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-17,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-19,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-20,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-23,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-24,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-26,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-27,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-30,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,0.024859351295162924,99124.64144374961,49689.92710799789,0.5012873326376217,49434.68947640042,0.4987124165735639,0.0,0.0,0.0,0.0,0.9999997492111857
2014-01-03,0.024859351295162924,98550.77802407624,49360.51569890099,0.5008637850311245,49190.23746582394,0.4991359627197121,0.0,0.0,0.0,0.0,0.9999997477508368
2014-01-06,0.024859351295162924,98317.29166602062,49202.03074375853,0.5004412744697605,49115.23606291079,0.4995584726820285,0.0,0.0,0.0,0.0,0.9999997471517892
2014-01-07,0.024859351295162924,98335.30201757519,49270.3851744241,0.5010447333107101,49064.8919837998,0.4989550138873888,0.0,0.0,0.0,0.0,0.9999997471980989
2014-01-08,0.024859351295162924,98777.26362850984,49489.97429888877,0.5010259697516524,49287.26447026979,0.49897377857756453,0.0,0.0,0.0,0.0,0.9999997483292169
2014-01-09,0.024859351295162924,98945.11821348066,49525.69640503567,0.5005370381000576,49419.396949093694,0.499462710656104,0.0,0.0,0.0,0.0,0.9999997487561616
2014-01-10,0.024859351295162924,99276.52411350251,49625.73601845106,0.49987382678420655,49650.763235700164,0.5001259228106598,0.0,0.0,0.0,0.0,0.9999997495948663
2014-01-13,0.024859351295162924,97255.08328341409,48521.257847550005,0.4989071646378903,48733.8005765128,0.501092579752321,0.0,0.0,0.0,0.0,0.9999997443902112
2014-01-14,0.024859351295162924,97324.39097212775,48691.94528048718,0.5003056766564492,48632.42083228926,0.4996940679157896,0.0,0.0,0.0,0.0,0.9999997445722388
2014-01-15,0.024859351295162924,98672.37809041618,49441.2126440804,0.5010643667549602,49231.1405869845,0.4989353813067388,0.0,0.0,0.0,0.0,0.999999748061699
2014-01-16,0.024859351295162924,99098.18039217299,49653.84430905872,0.5010570740305994,49444.31122376297,0.49894267511362095,0.0,0.0,0.0,0.0,0.9999997491442204
2014-01-17,0.024859351295162924,98634.35597879825,49390.154055959756,0.5007398645820359,49244.17706348721,0.4992598833825446,0.0,0.0,0.0,0.0,0.9999997479645804
2014-01-21,0.024859351295162924,98776.47447000966,49551.40659668664,0.5016519050974162,49225.04301397173,0.49834784322979,0.0,0.0,0.0,0.0,0.9999997483272062
2014-01-22,0.024859351295162924,98650.87223882282,49426.74843848825,0.5010269784420311,49224.09894098328,0.4989727695647454,0.0,0.0,0.0,0.0,0.9999997480067765
2014-01-23,0.024859351295162924,98318.95900437156,49249.54610492751,0.500916065463404,49069.388040092745,0.49908368169267303,0.0,0.0,0.0,0.0,0.9999997471560771
2014-01-24,0.024859351295162924,95340.7315790513,47637.518193027034,0.49965547152875184,47703.188526672966,0.5003442677290566,0.0,0.0,0.0,0.0,0.9999997392578085
2014-01-27,0.024859351295162924,93538.17223820715,46648.51350139858,0.4987109795410804,46889.63387745727,0.5012887546920065,0.0,0.0,0.0,0.0,0.9999997342330869
2014-01-28,0.024859351295162924,94445.70635777504,47014.848788689465,0.4977976300011977,47430.832709734284,0.5022021067856585,0.0,0.0,0.0,0.0,0.9999997367868562
2014-01-29,0.024859351295162924,94145.20720231037,46864.53508475722,0.4977899191835561,47280.647258201854,0.5022098167631582,0.0,0.0,0.0,0.0,0.9999997359467143
2014-01-30,0.024859351295162924,94052.88222698671,46788.811782359175,0.49747344977094177,47264.04558527623,0.5025262859165702,0.0,0.0,0.0,0.0,0.9999997356875121
2014-01-31,0.024859351295162924,94009.1748662973,46780.48501232886,0.49761616436758954,47228.664994617146,0.5023835711970367,0.0,0.0,0.0,0.0,0.9999997355646262
2014-02-03,0.024859351295162924,91381.2420241589,45422.47496580038,0.4970656335989811,45958.74219900723,0.5029340943610385,0.0,0.0,0.0,0.0,0.9999997279600196
2014-02-04,0.024859351295162924,91077.51060081729,45307.34522464153,0.49745919630169344,45770.14051682447,0.5025405307511089,0.0,0.0,0.0,0.0,0.9999997270528023
2014-02-05,0.024859351295162924,91400.02640277438,45423.05871138799,0.4969698642232471,45976.9428320351,0.5030298637926816,0.0,0.0,0.0,0.0,0.9999997280159287
2014-02-06,0.024859351295162924,92138.11993589814,45882.6122726913,0.49797643260588037,46255.48280385554,0.5020232975888391,0.0,0.0,0.0,0.0,0.9999997301947194
2014-02-07,0.024859351295162924,93971.02154226492,46868.41334677832,0.49875389856966196,47102.583336135314,0.5012458368876005,0.0,0.0,0.0,0.0,0.9999997354572624
2014-02-10,0.024859351295162924,94645.19128958762,47195.48989634005,0.49865702898666187,47449.67653389627,0.5013427083549721,0.0,0.0,0.0,0.0,0.9999997373416339
2014-02-11,0.024859351295162924,95299.72550944025,47526.384677540904,0.49870431864814774,47773.31597254805,0.5012954204974672,0.0,0.0,0.0,0.0,0.9999997391456149
2014-02-12,0.024859351295162924,95765.1294308768,47810.77014476763,0.49925030571046647,47954.334426757865,0.5007494347028609,0.0,0.0,0.0,0.0,0.9999997404133274
2014-02-13,0.024859351295162924,96344.94886984886,48099.740748780045,0.4992450700633757,48245.18326171752,0.5007546719121861,0.0,0.0,0.0,0.0,0.999999741975562
2014-02-14,0.024859351295162924,96547.93264035988,48175.76780449649,0.4989829040042811,48372.139976512095,0.5010168385137551,0.0,0.0,0.0,0.0,0.9999997425180362
2014-02-18,0.024859351295162924,96738.22495264241,48289.42387822464,0.49917624498345325,48448.776215066486,0.500823498041072,0.0,0.0,0.0,0.0,0.9999997430245251
2014-02-19,0.024859351295162924,96460.79399484272,48061.45925259719,0.4982486382515864,48399.309882894246,0.5017511040338515,0.0,0.0,0.0,0.0,0.9999997422854378
2014-02-20,0.024859351295162924,97119.52717863789,48415.909705589336,0.49851879546875255,48703.592613697256,0.5014809485646873,0.0,0.0,0.0,0.0,0.9999997440334398
2014-02-21,0.024859351295162924,96961.73794832604,48312.291622160876,0.49826140335797214,48649.421466813874,0.5017383402589244,0.0,0.0,0.0,0.0,0.9999997436168965
2014-02-24,0.024859351295162924,97490.10372323995,48676.636997765956,0.49929823785962685,48813.441866122696,0.5007015071467855,0.0,0.0,0.0,0.0,0.9999997450064125
2014-02-25,0.024859351295162924,97399.80366959998,48601.09731880915,0.49898557787317516,48798.68149143952,0.5010141668968309,0.0,0.0,0.0,0.0,0.9999997447700061
2014-02-26,0.024859351295162924,97262.45728031195,48608.19905771227,0.499763222284449,48654.233363248386,0.5002365221251414,0.0,0.0,0.0,0.0,0.9999997444095904
2014-02-27,0.024859351295162924,97712.00728028068,48809.19915623368,0.499520995574552,48902.78326469572,0.50047875001095,0.0,0.0,0.0,0.0,0.9999997455855019
2014-02-28,0.024859351295162924,97769.330809686,48779.62139521426,0.4989255934477733,48989.68455512045,0.5010741522868953,0.0,0.0,0.0,0.0,0.9999997457346687
2014-03-03,0.024859351295162924,96196.56997466048,47931.26012030769,0.49826371286349874,48265.284995001486,0.501736028714072,0.0,0.0,0.0,0.0,0.9999997415775708
2014-03-04,0.024859351295162924,97778.5179064315,48798.69224544917,0.49907375659085723,48979.80080163103,0.5009259891677016,0.0,0.0,0.0,0.0,0.999999745758559
2014-03-05,0.024859351295162924,98277.97752668666,49037.34171930534,0.4989657190085094,49240.61094803004,0.5010340280421329,0.0,0.0,0.0,0.0,0.9999997470506422
2014-03-06,0.024859351295162924,98467.13661173011,49162.76018006242,0.4992808958578552,49304.35157231639,0.5007188516787123,0.0,0.0,0.0,0.0,0.9999997475365675
