momentum_months,sma_months,cagr,max_drawdown,sharpe,total_return
9,8,0.11128538417586897,-0.23180318968691072,0.7643877799898879,6.910325503128371
9,10,0.11132020393640918,-0.2898914626998724,0.7449707452633356,6.915184909607235
9,12,0.11119520084389944,-0.2898915337847848,0.7465022926885796,6.8977527778651835
12,8,0.10359910438699771,-0.25498424338958503,0.7211755901315976,5.904209683137576
12,10,0.10624635143266237,-0.28203688657721326,0.7219453242888911,6.236162185741109
12,12,0.10540731779974344,-0.28203709214947137,0.7127078722148126,6.129345918816862
15,8,0.08842249676866842,-0.30047894473438563,0.6322814359510744,4.263095672646039
15,10,0.09884277229829164,-0.3368459195908251,0.6817035228431904,5.3437798589712475
15,12,0.10172406965582614,-0.336845586695683,0.694823677764442,5.677888101238746
