date,year,month,return
2018-05-31,2018,5,0.0372618799159572
2018-06-29,2018,6,0.025051300140519706
2018-07-31,2018,7,0.03729564151131903
2018-08-31,2018,8,0.04501399187137545
2018-09-28,2018,9,0.022802778633063125
2018-10-31,2018,10,-0.08019803794556735
2018-11-30,2018,11,0.011125145822193261
2018-12-31,2018,12,-0.11234306796396598
2019-01-31,2019,1,-0.02653007670508234
2019-02-28,2019,2,0.005961279119678364
2019-03-29,2019,3,0.01618150913347094
2019-04-30,2019,4,0.05787747056711168
2019-05-31,2019,5,-0.09241183297321154
2019-06-28,2019,6,0.021821310548408412
2019-07-31,2019,7,0.006837065884915061
2019-08-30,2019,8,0.03638606625729124
2019-09-30,2019,9,-0.008993689715110387
2019-10-31,2019,10,0.0216893126992177
2019-11-29,2019,11,0.006150708567049357
2019-12-31,2019,12,0.031730749226104304
2020-01-31,2020,1,0.013989363921604436
2020-02-28,2020,2,-0.06331318772211858
2020-03-31,2020,3,-0.05574015011606348
2020-04-30,2020,4,0.0045613603554699456
2020-05-29,2020,5,0.024264004915329984
2020-06-30,2020,6,0.04408478185778142
2020-07-31,2020,7,0.061275738663871815
2020-08-31,2020,8,0.0613721058837835
2020-09-30,2020,9,-0.04808466819642665
2020-10-30,2020,10,-0.02814861784148115
2020-11-30,2020,11,0.02441287398799097
2020-12-31,2020,12,0.03565371973072784
2021-01-29,2021,1,-0.013261035531253906
2021-02-26,2021,2,0.03368040247528614
2021-03-31,2021,3,0.06932026038073924
2021-04-30,2021,4,0.04251716685665485
2021-05-28,2021,5,0.0055500400432821895
2021-06-30,2021,6,0.049426912493198305
2021-07-30,2021,7,0.015994749216718285
2021-08-31,2021,8,0.041028881888208746
2021-09-30,2021,9,-0.03454438377697788
2021-10-29,2021,10,0.09052803448742908
2021-11-30,2021,11,0.007627321849117408
2021-12-31,2021,12,0.040215076412424944
2022-01-31,2022,1,-0.06852340009354918
2022-02-28,2022,2,-0.03448089501128104
2022-03-31,2022,3,0.07671489029885215
2022-04-29,2022,4,-0.05276409913893598
2022-05-31,2022,5,-0.03137247275430066
2022-06-30,2022,6,0.016427565933752053
2022-07-29,2022,7,-0.02186225898291516
2022-08-31,2022,8,-0.0009640338149118355
2022-09-30,2022,9,-0.022081090884246146
2022-10-31,2022,10,0.005540753439830182
2022-11-30,2022,11,0.001720700780482698
2022-12-30,2022,12,-0.055758425248800925
2023-01-31,2023,1,0.012943180200812643
2023-02-28,2023,2,-0.005661280821397052
2023-03-31,2023,3,0.03398166747004483
2023-04-28,2023,4,0.016884874857573617
2023-05-31,2023,5,0.07736784054579515
2023-06-30,2023,6,0.05672534085803771
2023-07-31,2023,7,0.006430511845383569
2023-08-31,2023,8,0.021803278344810773
2023-09-29,2023,9,-0.028050990570786305
2023-10-31,2023,10,-0.022673390149733574
2023-11-30,2023,11,0.05178332580114753
2023-12-29,2023,12,-0.00520257458439366
2024-01-31,2024,1,0.06201180402669437
2024-02-29,2024,2,0.07597651085114032
2024-03-28,2024,3,0.027003106488902695
2024-04-30,2024,4,-0.010216869375992976
2024-05-31,2024,5,0.06036569559352989
2024-06-28,2024,6,0.07493804450106523
2024-07-31,2024,7,-0.052138527818745506
2024-08-30,2024,8,-0.036434425680819005
