signal_date,selected,JPY_CASH_weight,QUAL_weight,VLUE_weight,USMV_weight,SPY_weight,QQQ_weight
2013-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2013-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2014-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2014-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2014-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2014-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2016-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2016-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2016-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2016-12-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-09-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-12-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2018-03-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2018-06-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2018-09-28,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2018-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2019-03-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2019-06-28,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2019-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2019-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2020-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2020-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2020-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2020-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2021-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2021-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2021-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2021-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2022-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2022-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2022-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2022-12-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2023-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2023-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2023-09-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2023-12-29,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2024-03-28,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2024-06-28,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2024-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2024-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2025-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2025-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2025-09-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2025-12-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2026-03-31,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2026-06-30,"QUAL,VLUE,USMV",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
