month,return,year
2021-12,0.004493955714299336,2021
2022-01,-0.008719615394611968,2022
2022-02,0.0,2022
2022-03,0.0,2022
2022-04,-0.0010509721553820794,2022
2022-05,0.0,2022
2022-06,0.0,2022
2022-07,0.0,2022
2022-08,0.0,2022
2022-09,0.0,2022
2022-10,0.0,2022
2022-11,0.0,2022
2022-12,0.0,2022
2023-01,0.0,2023
2023-02,0.0009088976677498195,2023
2023-03,-0.001242964063006502,2023
2023-04,0.004405858704227272,2023
2023-05,0.0008317195566538427,2023
2023-06,0.002005475056881867,2023
2023-07,-0.0009182733471199134,2023
2023-08,-0.0015807055467399467,2023
2023-09,0.0002255627295109086,2023
2023-10,-0.0040678526768129775,2023
2023-11,0.0,2023
2023-12,0.0,2023
2024-01,0.0075792607940750045,2024
2024-02,0.0,2024
2024-03,0.0,2024
2024-04,4.2814462542395404e-05,2024
2024-05,0.0,2024
2024-06,0.0,2024
2024-07,-0.010162584640041383,2024
2024-08,0.009546566978684279,2024
2024-09,0.001275022120338587,2024
2024-10,-0.001988986658636005,2024
2024-11,0.005663529480296248,2024
2024-12,0.00788130201167525,2024
2025-01,0.0016655101068989708,2025
2025-02,-0.004208633202882894,2025
2025-03,-0.012432448419300912,2025
2025-04,0.0,2025
2025-05,0.004755435508382755,2025
2025-06,0.0,2025
2025-07,0.0,2025
2025-08,-0.0005995952151881534,2025
2025-09,0.0,2025
2025-10,-0.0035664883735361252,2025
2025-11,0.006584461689187915,2025
2025-12,0.006366027950718056,2025
2026-01,5.0542872586323284e-05,2026
2026-02,0.006636684389390357,2026
2026-03,0.0019826739427906137,2026
2026-04,0.0,2026
2026-05,0.0,2026
2026-06,0.004126294552760479,2026
2026-07,-0.001751832024351807,2026
2026-08,0.0,2026
