signal_date,trade_date,asset,side,quantity,raw_open_usd,execution_price_usd,usdjpy,notional_jpy,commission_usd,commission_jpy,slippage_jpy,fx_cost_jpy,pre_trade_equity_jpy
2013-09-30,2013-10-01,QUAL,BUY,8.012860208265872,42.523835378336535,42.5450972960257,97.8270034790039,33333.33333333333,0.44999845067776406,44.02199999999999,16.666666666665208,33.33333333333333,100000.0
2013-09-30,2013-10-01,VLUE,BUY,8.562681331748452,39.7933235168457,39.813220178604126,97.8270034790039,33333.33333333333,0.4499984506777641,44.022,16.666666666667048,33.33333333333333,100000.0
2013-09-30,2013-10-01,USMV,BUY,12.877519180510872,26.236588807831048,26.24970710223496,97.8270034790039,33052.04422823841,0.44620106083320654,43.65051273046533,16.52602211411629,33.05204422823841,100000.0
2013-12-31,2014-01-02,QUAL,SELL,0.12218262330066233,47.14054365886516,47.116973387035735,105.3000030517578,606.5022494100486,0.01,1.053000030517578,0.3032511247049618,0.6065022494100486,117505.5889790731
2013-12-31,2014-01-02,VLUE,SELL,0.10652646047333758,43.9881762875035,43.96618219935975,105.3000030517578,493.4257815884412,0.01,1.053000030517578,0.24671289079419512,0.49342578158844125,117505.5889790731
2013-12-31,2014-01-02,USMV,BUY,0.36976626585042244,28.0741196476959,28.088156707519744,105.3000030517578,1093.1048412591092,0.013709589722876614,1.4436198396572548,0.5465524206294596,1.0931048412591091,117505.5889790731
2014-03-31,2014-04-01,VLUE,SELL,0.051898878240920696,45.16095588857592,45.13837541063163,102.88899993896484,241.15154167258876,0.01,1.0288899993896485,0.12057577083629563,0.24115154167258876,117152.78006143676
2014-03-31,2014-04-01,USMV,SELL,0.07970282222580416,28.824139176619425,28.80972710703112,102.88899993896484,236.37361210048402,0.01,1.0288899993896485,0.11818680605021784,0.23637361210048402,117152.78006143676
2014-03-31,2014-04-01,QUAL,BUY,0.09676079566119393,47.5121504632863,47.535906538517935,102.88899993896484,473.01298661025606,0.01,1.0288899993896485,0.2365064933050804,0.47301298661025604,117152.78006143676
2014-06-30,2014-07-01,VLUE,SELL,0.052918570827749464,47.22653358457468,47.2029203177824,101.44300079345705,253.5223570633243,0.01,1.0144300079345705,0.1267611785316319,0.2535223570633243,120028.7941335717
2014-06-30,2014-07-01,QUAL,BUY,0.04145438267705398,49.123176616407015,49.14773820471522,101.44300079345705,206.5755810905102,0.01,1.0144300079345705,0.1032877905452506,0.2065755810905102,120028.7941335717
2014-06-30,2014-07-01,USMV,BUY,0.014217419992660232,29.91755863310669,29.93251741242324,101.44300079345705,43.14883072776601,0.01,1.0144300079345705,0.021574415363879444,0.04314883072776601,120028.7941335717
2014-09-30,2014-10-01,QUAL,SELL,0.09085689728352628,50.22903237559,50.20391785940221,109.38999938964844,499.21811212508334,0.01,1.0938999938964844,0.2496090560625067,0.4992181121250834,130847.89589444372
2014-09-30,2014-10-01,USMV,SELL,0.027587834449702874,30.311192655045087,30.296037058717566,109.38999938964844,91.47412333244574,0.01,1.0938999938964844,0.04573706166621739,0.09147412333244574,130847.89589444372
2014-09-30,2014-10-01,VLUE,BUY,0.11367563719832842,47.09664646882733,47.12019479206174,109.38999938964844,585.6457572383327,0.01,1.0938999938964844,0.29282287861909634,0.5856457572383328,130847.89589444372
2014-12-31,2015-01-02,USMV,SELL,0.3013704586348113,32.902543657591046,32.886092385762254,119.6729965209961,1186.6600417056616,0.01308238370340521,1.5656080594239477,0.5933300208527166,1.1866600417056616,151825.96659360782
2014-12-31,2015-01-02,QUAL,BUY,0.05556154524786608,52.90373846470096,52.930190333933304,119.6729965209961,351.76841659137426,0.01,1.196729965209961,0.1758842082956595,0.35176841659137426,151825.96659360782
2014-12-31,2015-01-02,VLUE,BUY,0.1407129674249976,49.13338470458984,49.15795139694213,119.6729965209961,827.3837179910312,0.01,1.196729965209961,0.4136918589955118,0.8273837179910312,151825.96659360782
2015-03-31,2015-04-01,USMV,SELL,0.06588686689540749,33.58111245185237,33.56432189562644,120.01300048828124,265.5352786438598,0.01,1.2001300048828123,0.13276763932194302,0.2655352786438598,154600.80839291355
2015-03-31,2015-04-01,QUAL,BUY,0.0017271628760470218,53.70640877669755,53.733261981085896,120.01300048828124,11.132371774983767,0.01,1.2001300048828123,0.005566185887491179,0.011132371774983767,154600.80839291355
2015-03-31,2015-04-01,VLUE,BUY,0.041957393092724865,49.6507058824902,49.67553123543144,120.01300048828124,250.01278488673597,0.01,1.2001300048828123,0.12500639244335401,0.25001278488673595,154600.80839291355
2015-06-30,2015-07-01,QUAL,SELL,0.0727777524214983,54.28937441531242,54.26222972810477,122.66999816894533,484.67635739961406,0.01,1.2266999816894533,0.24233817869977295,0.48467635739961407,158284.81948609854
2015-06-30,2015-07-01,VLUE,SELL,0.03993686085692388,49.96779444840198,49.942810551177786,122.66999816894533,244.79495565235996,0.01,1.2266999816894533,0.12239747782615565,0.24479495565235998,158284.81948609854
2015-06-30,2015-07-01,USMV,BUY,0.1778282921784612,33.17157978946036,33.188165579355086,122.66999816894533,723.6113523095798,0.01,1.2266999816894533,0.3618056761547116,0.7236113523095798,158284.81948609854
2015-09-30,2015-10-01,QUAL,SELL,0.028635533883530045,51.83412670225214,51.80820963890102,119.86000061035156,177.90794618179646,0.01,1.1986000061035156,0.08895397309088839,0.17790794618179645,147130.78690337768
2015-09-30,2015-10-01,USMV,SELL,0.39461340742117124,32.55119106524225,32.53491546970963,119.86000061035156,1539.6180593657264,0.016947102286833698,2.0312796904435775,0.7698090296827644,1.5396180593657263,147130.78690337768
2015-09-30,2015-10-01,VLUE,BUY,0.3104547597621743,45.87083946173845,45.89377488146931,119.86000061035156,1706.9047472515742,0.018807281929135743,2.2542408235052642,0.8534523736255842,1.7069047472515744,147130.78690337768
2015-12-31,2016-01-04,QUAL,SELL,0.08269451598863758,54.54470293795957,54.51743058649059,120.28800201416016,542.5647839578451,0.01,1.2028800201416017,0.27128239197892573,0.542564783957845,153749.89827073098
2015-12-31,2016-01-04,USMV,SELL,0.10668715128459658,34.18470675300734,34.167614399630835,120.28800201416016,438.69864092962234,0.01,1.2028800201416017,0.21934932046482605,0.43869864092962235,153749.89827073098
2015-12-31,2016-01-04,VLUE,BUY,0.17291095273865945,46.85954707448295,46.882976848020185,120.28800201416016,974.6370161976106,0.0107006858561007,1.2871641218115362,0.48731850809873223,0.9746370161976105,153749.89827073098
2016-03-31,2016-04-01,USMV,SELL,0.4151553588347508,36.38469461108911,36.366502263783566,112.36599731445312,1697.3222056850063,0.019929027751889313,2.2393450788484563,0.8486611028424503,1.6973222056850064,147775.23374692348
2016-03-31,2016-04-01,QUAL,BUY,0.01889609349616403,55.98574572602983,56.01373859889284,112.36599731445312,118.873324106542,0.01,1.1236599731445314,0.05943666205325985,0.11887332410654201,147775.23374692348
2016-03-31,2016-04-01,VLUE,BUY,0.2989580082222535,46.67496141412514,46.698298894832206,112.36599731445312,1567.9386647069675,0.018428296160955777,2.0707138769319036,0.7839693323535051,1.5679386647069675,147775.23374692348
2016-06-30,2016-07-01,USMV,SELL,0.33453396251341394,38.68256130318093,38.663220022529345,102.77799987792967,1330.0121212773447,0.01707309146091741,1.7547381920860519,0.6650060606385882,1.3300121212773448,139712.1561571379
2016-06-30,2016-07-01,QUAL,BUY,0.12565300194323104,56.95485951124812,56.983336941003735,102.77799987792967,735.5357997350875,0.01,1.0277799987792968,0.3677678998674692,0.7355357997350875,139712.1561571379
2016-06-30,2016-07-01,VLUE,BUY,0.11982369284729132,47.63920022737656,47.663019827490245,102.77799987792967,586.6881598565617,0.01,1.0277799987792968,0.29334407992821315,0.5866881598565616,139712.1561571379
2016-09-30,2016-10-03,QUAL,SELL,0.008462336748292745,58.361068344874695,58.33188781070226,101.1989974975586,49.97925144153851,0.01,1.0119899749755858,0.024989625720765286,0.04997925144153851,140812.26967785828
2016-09-30,2016-10-03,VLUE,SELL,0.3442445632903438,50.60341103931645,50.578109333796796,101.1989974975586,1762.8813888426666,0.022982835690756667,2.3258399315556844,0.881440694421126,1.7628813888426667,140812.26967785828
2016-09-30,2016-10-03,USMV,BUY,0.46770505409022894,38.06617465232413,38.085207739650286,101.1989974975586,1801.7208699119674,0.02351269027260218,2.379460684057938,0.9008604349557567,1.8017208699119673,140812.26967785828
2016-12-30,2017-01-03,VLUE,SELL,0.39064684312036496,55.22075978992299,55.19314941002803,116.79499816894533,2519.480150263109,0.02846055904414547,3.3240509414481303,1.259740075131449,2.519480150263109,169783.3619300516
2016-12-30,2017-01-03,QUAL,BUY,0.05943488093452205,60.5193131039443,60.54957276049627,116.79499816894533,420.10672271213843,0.01,1.1679499816894532,0.21005336135604924,0.42010672271213845,169783.3619300516
2016-12-30,2017-01-03,USMV,BUY,0.46597700059198294,38.3029599819576,38.32211146194857,116.79499816894533,2084.5919796694416,0.02357153377311539,2.753037243870245,1.0422959898344595,2.0845919796694417,169783.3619300516
2017-03-31,2017-04-03,QUAL,SELL,0.021529736243210838,63.757189268842005,63.725310674207584,111.7760009765625,153.43217451500823,0.01,1.117760009765625,0.0767160872575033,0.15343217451500824,170720.3354221389
2017-03-31,2017-04-03,USMV,SELL,0.08460043923866085,40.52531482130706,40.50505216389641,111.7760009765625,383.2194850616215,0.01,1.117760009765625,0.1916097425308207,0.3832194850616215,170720.3354221389
2017-03-31,2017-04-03,VLUE,BUY,0.08276794241612777,57.47158622739261,57.50032202050631,111.7760009765625,531.6966335553082,0.01,1.117760009765625,0.26584831677765747,0.5316966335553082,170720.3354221389
2017-06-30,2017-07-03,QUAL,SELL,0.03355886780246748,65.73666613309341,65.70379780002686,112.00900268554688,247.09724627320975,0.01,1.1200900268554688,0.12354862313660062,0.24709724627320975,175646.34024397103
2017-06-30,2017-07-03,USMV,SELL,0.07913216518197923,41.87165333436754,41.85071750770035,112.00900268554688,371.1300233165166,0.01,1.1200900268554688,0.185565011658262,0.3711300233165166,175646.34024397103
2017-06-30,2017-07-03,VLUE,BUY,0.09373277167896794,58.38890305903303,58.41809751056254,112.00900268554688,613.0200878113313,0.01,1.1200900268554688,0.306510043905627,0.6130200878113313,175646.34024397103
2017-09-29,2017-10-02,VLUE,SELL,0.11149097220882682,61.61765863179366,61.586849802477765,112.46700286865234,772.6272408242803,0.01,1.1246700286865234,0.38631362041211187,0.7726272408242804,183782.61978941108
2017-09-29,2017-10-02,QUAL,BUY,0.02362645349013091,68.29868243827042,68.33283177948955,112.46700286865234,181.4830139500773,0.01,1.1246700286865234,0.09074150697503555,0.1814830139500773,183782.61978941108
2017-09-29,2017-10-02,USMV,BUY,0.12046770425115885,43.21177646058662,43.23338234881691,112.46700286865234,585.4608738747769,0.01,1.1246700286865234,0.2927304369373477,0.585460873874777,183782.61978941108
2017-12-29,2018-01-02,QUAL,SELL,0.05243135812791429,73.96164791653347,73.9246670925752,112.66600036621094,436.90857000675163,0.01,1.1266600036621095,0.2184542850033339,0.4369085700067516,198062.32150725237
2017-12-29,2018-01-02,VLUE,SELL,0.10143285534126212,67.05742831140174,67.02389959724604,112.66600036621094,766.3345785426209,0.01,1.1266600036621095,0.3831672892712234,0.7663345785426209,198062.32150725237
2017-12-29,2018-01-02,USMV,BUY,0.23253372950825638,45.6440273486906,45.66684936236494,112.66600036621094,1195.8116804691888,0.014017189292201646,1.5792606539284386,0.5979058402345371,1.1958116804691887,198062.32150725237
2018-03-29,2018-04-02,QUAL,SELL,0.08803216845707405,73.77396456089224,73.7370775786118,106.47899627685548,691.5259327873863,0.01,1.0647899627685549,0.3457629663935949,0.6915259327873863,184636.2396594008
2018-03-29,2018-04-02,VLUE,BUY,0.06668205263705113,65.6431608134665,65.67598239387323,106.47899627685548,466.08206711084495,0.01,1.0647899627685549,0.2330410335554183,0.46608206711084493,184636.2396594008
2018-03-29,2018-04-02,USMV,BUY,0.046093250034160496,44.86246059974906,44.884891830048936,106.47899627685548,220.18329665759413,0.01,1.0647899627685549,0.11009164832878755,0.22018329665759412,184636.2396594008
2018-06-29,2018-07-02,USMV,SELL,0.1542893346092438,46.13464283350783,46.11157551209108,110.48600006103516,786.4485569141033,0.01,1.1048600006103515,0.39322427845705016,0.7864485569141033,194641.09376403957
2018-06-29,2018-07-02,QUAL,BUY,0.06529986687889043,74.33147473048125,74.36864046784649,110.48600006103516,536.280858832317,0.01,1.1048600006103515,0.2681404294161723,0.536280858832317,194641.09376403957
2018-06-29,2018-07-02,VLUE,BUY,0.03331115223569301,66.43332181435454,66.46653847526171,110.48600006103516,244.5022584092411,0.01,1.1048600006103515,0.1222511292046012,0.24450225840924114,194641.09376403957
2018-09-28,2018-10-01,QUAL,SELL,0.07209390901523356,81.57732391357422,81.53653525161744,113.35700225830078,666.6783947137883,0.01,1.1335700225830079,0.3333391973568514,0.6666783947137883,217165.54172705382
2018-09-28,2018-10-01,VLUE,BUY,0.04723254963315662,71.8661732458547,71.90210633247762,113.35700225830078,384.7815697420883,0.01,1.1335700225830079,0.19239078487099734,0.3847815697420883,217165.54172705382
2018-09-28,2018-10-01,USMV,BUY,0.04880961768764219,49.9744358130972,49.99942303100375,113.35700225830078,276.50415272722927,0.01,1.1335700225830079,0.13825207636361753,0.2765041527272293,217165.54172705382
2018-12-31,2019-01-02,USMV,SELL,0.8102636718662332,45.5779530790148,45.555164102475295,109.62999725341795,4048.653297484081,0.04872343679034539,5.341550241502648,2.0243266487415577,4.048653297484081,179388.32667021768
2018-12-31,2019-01-02,QUAL,BUY,0.15402339943518617,68.3328457123943,68.36701213525049,109.62999725341795,1153.8400647997623,0.013899757896153235,1.5238304199784538,0.5769200323997301,1.1538400647997624,179388.32667021768
2018-12-31,2019-01-02,VLUE,BUY,0.44850303322027696,58.41117770656702,58.4403832954203,109.62999725341795,2872.0417608973157,0.034598109705128124,3.7929906719466495,1.4360208804484886,2.8720417608973157,179388.32667021768
2019-03-29,2019-04-01,QUAL,SELL,0.19894737731401918,80.96039621327378,80.91991601516715,110.63700103759766,1782.0145197952518,0.021250422684068425,2.351083036546667,0.8910072598975977,1.782014519795252,209144.56843482197
2019-03-29,2019-04-01,VLUE,BUY,0.14908223664706527,66.44484726801969,66.47806969165369,110.63700103759766,1095.9420796460472,0.013082123099246801,1.4473668669053485,0.547971039822879,1.0959420796460473,209144.56843482197
2019-03-29,2019-04-01,USMV,BUY,0.11716586839484952,52.13640877584182,52.16247698022974,110.63700103759766,675.8380263984836,0.01,1.1063700103759766,0.33791901319921147,0.6758380263984837,209144.56843482197
2019-06-28,2019-07-01,QUAL,SELL,0.001956727856840681,84.46251783044117,84.42028657152595,107.74700164794922,17.80736436325242,0.01,1.0774700164794921,0.008903682181626661,0.01780736436325242,212438.67735815223
2019-06-28,2019-07-01,USMV,SELL,0.15467062257464892,55.091125946734174,55.06358038376081,107.74700164794922,918.1099112589,0.011242068102072072,1.2112991303203169,0.4590549556294257,0.9181099112589,212438.67735815223
2019-06-28,2019-07-01,VLUE,BUY,0.12616148131114052,68.38569554207325,68.41988838984429,107.74700164794922,929.6024113421503,0.011394179900935473,1.2276887205631242,0.4648012056710974,0.9296024113421503,212438.67735815223
2019-09-30,2019-10-01,USMV,SELL,0.24464494999537165,57.1739571691158,57.145370190531246,107.94400024414062,1509.8472619098757,0.018454030627202963,1.9920018865281752,0.7549236309548949,1.5098472619098757,216343.9042621579
2019-09-30,2019-10-01,QUAL,BUY,0.09223408818228467,84.85239878595222,84.8948249853452,107.94400024414062,844.8003622943214,0.010335859741571696,1.1156940464676184,0.42240018114717487,0.8448003622943213,216343.9042621579
2019-09-30,2019-10-01,VLUE,BUY,0.08827435353336628,68.8807833458999,68.91522373757284,107.94400024414062,656.3434137526804,0.01,1.0794400024414064,0.3281717068762908,0.6563434137526803,216343.9042621579
2019-12-31,2020-01-02,QUAL,SELL,0.15661811453369917,93.47996323234476,93.43322325072859,108.68099975585938,1591.1610863991082,0.019316002543642588,2.099282467729799,0.7955805431995171,1.5911610863991081,235194.98975971027
2019-12-31,2020-01-02,VLUE,SELL,0.20946634658895794,76.0259812122303,75.9879682216242,108.68099975585938,1730.7323717568654,0.021010337156293923,2.283424447353703,0.8653661858782183,1.7307323717568655,235194.98975971027
2019-12-31,2020-01-02,USMV,BUY,0.5141136082150161,59.11849585087592,59.14805509880135,108.68099975585938,3303.2093571154437,0.04013964243398385,4.362416469568082,1.6516046785574925,3.3032093571154437,235194.98975971027
