entry_date,exit_date,entry_raw_price,exit_raw_price,entry_price,exit_price,shares,gross_shares,pnl,gross_pnl,return_pct,gross_return_pct,commission_cost,slippage_cost,mae_pct,mfe_pct,max_adverse_price,max_favorable_price,holding_days,exit_reason,exit_conditions,multiple_exit_conditions
2019-03-08,2019-03-14,244.165266109,251.706532297,244.28734874205446,251.5806790308515,0.7154251148002629,0.7167276606897751,4.749553157421161,5.4050340735641385,0.02714030375669235,0.030885908991795077,0.4682785017176788,0.17737956915038225,-0.002403978634499704,0.03406932131689544,243.700087175,252.61005292,4,RSI_EXIT,RSI_EXIT,False
2019-05-08,2019-05-14,258.350184429,253.372408122,258.4793595212145,253.24572191793902,0.6807318303749748,0.6826055065846334,-4.022522472961697,-3.3978575177047503,-0.022830933087874858,-0.019267554687455776,0.4598187677646526,0.17417292853571398,-0.026918565200342193,0.006104953643913502,251.521466029,260.057364029,4,STOP_LOSS,STOP_LOSS,False
2019-05-14,2019-05-21,253.372408122,256.822707945,253.49909432606097,256.6942965910275,0.6901437776352498,0.692663401827321,1.7403679931983902,2.389896412723374,0.009934641690636228,0.013617504165404824,0.4647809682543155,0.1760539923667263,-0.002732755400577269,0.02509119921256109,252.806343307,259.859690602,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True
2019-05-24,2019-06-03,254.944810385,247.370324054,255.0722827901925,247.24663889197302,0.6875907452615331,0.6907348613066993,-5.836754911196408,-5.231961765312775,-0.03323573405503892,-0.02971029816045887,0.455914591068301,0.17269361882251547,-0.03801535476580353,0.0011206421869154326,245.375619469,255.358127551,5,TIME_EXIT,"TIME_EXIT,STOP_LOSS",True
2019-06-28,2019-07-02,264.165963687,266.901703894,264.2980466688435,266.768253042053,0.6580755252397978,0.6616722130331708,1.1642664674629373,1.8101632770495257,0.006685129216642652,0.010356141907219694,0.46131588903761345,0.17474131714060132,-0.00244696163287883,0.014326386603608965,263.651319489,268.084482664,2,RSI_EXIT,RSI_EXIT,False
2019-07-22,2019-07-25,268.707473008,271.714078583,268.84182674450403,271.57822154370854,0.6480344256938834,0.6521732226437278,1.3109997819479986,1.9608276470663384,0.007515100856832032,0.011189140150599651,0.46227825022620456,0.1751058849089202,-0.0024140511964337863,0.012363009721157114,268.192828811,272.165520862,3,RSI_EXIT,RSI_EXIT,False
2019-08-02,2019-08-06,265.312627074,258.143723691,265.44528338753696,258.0146518291545,0.6575595333819444,0.6623658567250604,-5.340434633646794,-4.7484368310599905,-0.03055579738140419,-0.027020588737378465,0.45435201338370423,0.17210185687740648,-0.04175868505960201,0.00041862682600690704,254.360637398,265.556405904,2,STOP_LOSS,STOP_LOSS,False
2019-08-06,2019-08-13,258.143723691,259.796002431,258.2727955528455,259.66610442978447,0.6706580446220333,0.6761617668962406,0.4759187522996342,1.1172077122434985,0.002743974839840106,0.006400615581023371,0.45851505466276943,0.17368022197652422,-0.014028713667228354,0.028306105071986387,254.649560456,265.583492441,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True
2019-09-25,2019-10-02,268.451378947,264.405922973,268.58560463647353,264.2737200115135,0.6453493705333265,0.6512397847904445,-3.2365941957928612,-2.634561877886995,-0.018648235170867375,-0.015069604000055125,0.45392216726259726,0.1719395621890759,-0.03197475461537558,0.007926230154471137,259.997645835,270.714475955,5,TIME_EXIT,TIME_EXIT,False
2019-10-03,2019-10-10,261.058897739,264.115666042,261.18942718786946,263.983608208979,0.6605300638050031,0.6671581749984975,1.3877423644314888,2.039347962422738,0.008033185092517638,0.01170911365011617,0.45789820372473866,0.17344679406150737,-0.010883356487568663,0.0253724463293985,258.346809541,267.816441911,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True
2020-01-28,2020-02-04,296.296236021,299.039888487,296.44438413901054,298.8903685427565,0.5831446183320634,0.5895363947886804,0.9681031821538397,1.6174829833586841,0.005592799592748685,0.009259828956468739,0.45825945941479757,0.17358352855274803,-0.013813710874989171,0.014720597617876141,292.349387126,300.808222634,5,TIME_EXIT,TIME_EXIT,False
2020-02-25,2020-02-26,295.275342081,286.378980598,295.4229797520405,286.235791107701,0.5859789720263608,0.5929441459120806,-5.833407904998751,-5.275045461262579,-0.033652950700227065,-0.030129036242245957,0.4499085473764304,0.17041860103903575,-0.04135109083353594,0.0015675004982624863,283.206917282,295.88605542,1,STOP_LOSS,STOP_LOSS,False
2020-02-26,2020-02-28,286.378980598,263.153643448,286.522170088299,263.02206662627606,0.599099275444694,0.6067590009258307,-14.513480608306764,-14.092182365299578,-0.08443872367521303,-0.08110000636744426,0.43458565133347227,0.1646122984495671,-0.09161212887718162,0.012002751569420322,260.273264116,289.961224515,2,STOP_LOSS,STOP_LOSS,False
