portfolio,total_return,cagr,max_drawdown,sharpe,sortino,volatility,calmar
JPY Multi-Asset Trend v1,6.236162185741109,0.10624635143266237,-0.28203688657721326,0.7219453242888911,0.8886765709036473,0.15825958784311472,0.3767108363805289
SPY Buy & Hold JPY,7.908213742827082,0.1180417689310842,-0.6441888820397323,0.5780790900527676,0.7049229341742093,0.24747447776672027,0.1832409285880901
QQQ Buy & Hold JPY,25.36750150548393,0.18168713282324456,-0.627035993795736,0.7582447841836938,0.9822406753042201,0.26971140418967815,0.28975550785116677
Static Equal Weight,8.239577625647536,0.12012702905050365,-0.40932166171103457,0.7458641882829478,0.958339851646475,0.17329088945025334,0.2934783088399283
