date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2018-01-02,700.0,0.0,235.95349746,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-03,700.0,0.0,237.445929449,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-04,700.0,0.0,238.446736783,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-05,700.0,0.0,240.035737901,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-08,700.0,0.0,240.474688486,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-09,700.0,0.0,241.018987211,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-10,700.0,0.0,240.65026872,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-11,700.0,0.0,242.40607106,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-12,700.0,0.0,243.986293166,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-16,700.0,0.0,243.152287054,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-17,700.0,0.0,245.469946143,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-18,700.0,0.0,245.057332593,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-19,700.0,0.0,246.172267079,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-22,700.0,0.0,248.173881747,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-23,700.0,0.0,248.700622449,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-24,700.0,0.0,248.60405332,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-25,700.0,0.0,248.709401461,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-26,700.0,0.0,251.588917298,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-29,700.0,0.0,249.920905075,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-30,700.0,0.0,247.357433659,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-01-31,700.0,0.0,247.480339822,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-01,700.0,0.0,247.199411448,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-02,700.0,0.0,241.817877276,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-05,700.0,0.0,231.704455798,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-06,700.0,0.0,236.269541882,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-07,700.0,0.0,234.987806173,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-08,700.0,0.0,226.173678427,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-09,700.0,0.0,229.571155955,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-12,700.0,0.0,232.942296447,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-13,700.0,0.0,233.52171122,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-14,700.0,0.0,236.67337642,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-15,700.0,0.0,239.693356445,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-16,700.0,0.0,239.763588538,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-20,700.0,0.0,238.262377537,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-21,700.0,0.0,237.077210958,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-22,700.0,0.0,237.384476367,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-23,700.0,0.0,241.16823041,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-26,700.0,0.0,243.968735142,0.0,0.0,700.0,700.0,0.0,0.0,700.0
2018-02-27,700.0,0.0,240.922418083,0.0,0.0,700.0,700.0,0.0,0.0,700.0
