entry_date,exit_date,exit_reason,return_pct,mae_pct,mfe_pct,max_adverse_price,max_favorable_price
2019-03-08,2019-03-14,RSI_EXIT,0.02714030375669235,-0.002403978634499704,0.03406932131689544,243.700087175,252.61005292
2019-05-08,2019-05-14,STOP_LOSS,-0.022830933087874858,-0.026918565200342193,0.006104953643913502,251.521466029,260.057364029
2019-05-14,2019-05-21,RSI_EXIT,0.009934641690636228,-0.002732755400577269,0.02509119921256109,252.806343307,259.859690602
2019-05-24,2019-06-03,TIME_EXIT,-0.03323573405503892,-0.03801535476580353,0.0011206421869154326,245.375619469,255.358127551
2019-06-28,2019-07-02,RSI_EXIT,0.006685129216642652,-0.00244696163287883,0.014326386603608965,263.651319489,268.084482664
2019-07-22,2019-07-25,RSI_EXIT,0.007515100856832032,-0.0024140511964337863,0.012363009721157114,268.192828811,272.165520862
2019-08-02,2019-08-06,STOP_LOSS,-0.03055579738140419,-0.04175868505960201,0.00041862682600690704,254.360637398,265.556405904
2019-08-06,2019-08-13,RSI_EXIT,0.002743974839840106,-0.014028713667228354,0.028306105071986387,254.649560456,265.583492441
2019-09-25,2019-10-02,TIME_EXIT,-0.018648235170867375,-0.03197475461537558,0.007926230154471137,259.997645835,270.714475955
2019-10-03,2019-10-10,RSI_EXIT,0.008033185092517638,-0.010883356487568663,0.0253724463293985,258.346809541,267.816441911
2020-01-28,2020-02-04,TIME_EXIT,0.005592799592748685,-0.013813710874989171,0.014720597617876141,292.349387126,300.808222634
2020-02-25,2020-02-26,STOP_LOSS,-0.033652950700227065,-0.04135109083353594,0.0015675004982624863,283.206917282,295.88605542
2020-02-26,2020-02-28,STOP_LOSS,-0.08443872367521303,-0.09161212887718162,0.012002751569420322,260.273264116,289.961224515
2020-06-15,2020-06-19,RSI_EXIT,0.05498371886808762,-0.004792617447725633,0.059009106418357105,272.072204396,289.514474179
2020-09-11,2020-09-16,RSI_EXIT,0.013248653275729117,-0.01484550440886201,0.02104864428000841,304.819934326,315.926062446
2020-09-22,2020-09-29,RSI_EXIT,0.01274175507541736,-0.027177831481264847,0.0189384414251057,295.684880095,309.70171181
2020-10-20,2020-10-27,TIME_EXIT,-0.014366968014026137,-0.0233148725797937,0.014704608330839086,310.31194327,322.391475017
2020-10-29,2020-11-05,RSI_EXIT,0.06442469388522575,-0.013677218166578298,0.07679175614865308,298.273740834,325.632451284
2020-12-14,2020-12-17,RSI_EXIT,0.005285912656557205,-0.011805945986616107,0.009857484451586629,336.98645481,344.373953847
2021-01-19,2021-01-21,RSI_EXIT,0.012562773859940307,-0.004700219008623163,0.016962576490660908,349.825317869,357.439299572
2021-01-28,2021-02-04,RSI_EXIT,0.013839299980490534,-0.021984384575065352,0.02573859206928697,341.951346547,358.637108888
2021-02-23,2021-03-02,RSI_EXIT,0.009732319246765415,-0.017207457207741417,0.0191701320874178,351.199548713,364.199029669
2021-03-25,2021-03-29,RSI_EXIT,0.018101956108372272,-0.005885937283667819,0.02738930550187879,357.631638661,369.602377282
2021-06-21,2021-06-24,RSI_EXIT,0.015705880794095038,-0.002586039034330412,0.02048304062941897,388.737498159,397.728565724
2021-07-20,2021-07-26,RSI_EXIT,0.028269633774734904,-0.0024955573336590264,0.0355421800475233,397.05563759,412.1965206
2021-08-20,2021-08-25,RSI_EXIT,0.014337109956360346,-0.0016803605553147305,0.02044927380806727,410.962819021,420.072583632
2021-09-10,2021-09-17,TIME_EXIT,-0.014003786705418218,-0.019572818804936,0.0004974454936383932,413.507778776,421.972670987
2021-09-21,2021-09-27,RSI_EXIT,0.010700526557400199,-0.008421933858492991,0.0186417111458419,406.053724898,417.136355947
2021-10-01,2021-10-08,RSI_EXIT,0.016017448674736288,-0.011214147903577554,0.02431498065994453,399.762315902,414.126605891
2021-11-29,2021-12-02,STOP_LOSS,-0.032274604152435146,-0.03017870684071411,0.004863138281164803,422.199486883,437.45451287
2021-12-02,2021-12-08,RSI_EXIT,0.03609041449423055,-0.004513451127565071,0.04223175169503168,420.914951812,440.6799148
2022-01-06,2022-01-13,RSI_EXIT,0.005523417922317787,-0.0246230621682616,0.010843399605957815,429.620540699,445.242317156
2022-01-20,2022-01-24,STOP_LOSS,-0.05132723141277259,-0.07316864983564964,0.010491999180188838,395.90058615,431.636645334
2022-01-25,2022-01-31,RSI_EXIT,0.015186822318302031,-0.014139999689557925,0.03924392119845255,401.913051084,423.676480492
2022-04-06,2022-04-13,TIME_EXIT,-0.023387257628804156,-0.023401991410655132,0.007999211475301138,412.128240835,425.379673248
2023-02-22,2023-03-01,TIME_EXIT,-0.013883351772906638,-0.015860511873081573,0.006204947188105825,376.143776,384.577321438
