month,date,equity_jpy,return,year
2013-07,2013-07-31,100000.0,,2013
2013-08,2013-08-30,100000.0,0.0,2013
2013-09,2013-09-30,100000.0,0.0,2013
2013-10,2013-10-31,104972.88368943337,0.049728836894333606,2013
2013-11,2013-11-29,112182.03370929565,0.06867630731371399,2013
2013-12,2013-12-31,117282.82917609921,0.04546891599435243,2013
2014-01,2014-01-31,110715.30352512003,-0.055997333088871004,2014
2014-02,2014-02-28,114875.7474158738,0.03757785742609476,2014
2014-03,2014-03-31,116631.16096695632,0.015280976103054789,2014
2014-04,2014-04-30,117375.94651368418,0.006385819540447368,2014
2014-05,2014-05-30,118354.06987113779,0.008333252139863134,2014
2014-06,2014-06-30,119780.87229587887,0.012055372715907176,2014
2014-07,2014-07-31,120217.3268452332,0.003643775011724859,2014
2014-08,2014-08-29,125751.79169419532,0.04603716447702366,2014
2014-09,2014-09-30,131277.36968279717,0.04394035197557278,2014
2014-10,2014-10-31,134720.98618631138,0.026231608020749864,2014
2014-11,2014-11-28,149431.9133893504,0.10919551303383912,2014
2014-12,2014-12-31,151486.03334545423,0.013746193229499326,2014
2015-01,2015-01-30,146766.18619836002,-0.03115697891653746,2015
2015-02,2015-02-27,155852.09729197482,0.0619073870416913,2015
2015-03,2015-03-31,154979.2153478969,-0.005600707075777311,2015
2015-04,2015-04-30,153762.71719872075,-0.007849427721293933,2015
2015-05,2015-05-29,161878.20993704943,0.052779327044801816,2015
2015-06,2015-06-30,157313.40826209428,-0.028198987848520707,2015
2015-07,2015-07-31,162926.88613389223,0.03568340381034485,2015
2015-08,2015-08-31,150935.70387283497,-0.07359854807022448,2015
2015-09,2015-09-30,146803.51030601934,-0.027377177571564215,2015
2015-10,2015-10-30,159024.09184495907,0.0832444776931105,2015
2015-11,2015-11-30,161187.26801711135,0.013602820472392807,2015
2015-12,2015-12-31,156426.77131294232,-0.029533949937433412,2015
2016-01,2016-01-29,146878.14588298614,-0.06104214355261173,2016
2016-02,2016-02-29,141973.5926992171,-0.03339198731223347,2016
2016-03,2016-03-31,148708.49375489447,0.04743770251659285,2016
2016-04,2016-04-29,143030.24392568,-0.03818376264756962,2016
2016-05,2016-05-31,148704.52827072612,0.03967191965354222,2016
2016-06,2016-06-30,139599.40458321365,-0.0612296329734896,2016
2016-07,2016-07-29,146557.08459379658,0.04984032726612053,2016
2016-08,2016-08-31,143504.25512988918,-0.020830309721080686,2016
2016-09,2016-09-30,141149.21506241694,-0.016410942416589913,2016
2016-10,2016-10-31,142918.7238093669,0.01253644057579395,2016
2016-11,2016-11-30,159238.20482953097,0.11418714486935877,2016
2016-12,2016-12-30,168177.70635668942,0.05613917549955083,2016
2017-01,2017-01-31,166409.26492069673,-0.010515314272641962,2017
2017-02,2017-02-28,172681.90259425202,0.0376940411133031,2017
2017-03,2017-03-31,170615.24619405903,-0.011967996467174613,2017
2017-04,2017-04-28,171038.8918890975,0.0024830471161798595,2017
2017-05,2017-05-31,172365.53658973952,0.007756392046215144,2017
2017-06,2017-06-30,174979.51200830436,0.015165302010381243,2017
2017-07,2017-07-31,175527.121843026,0.0031295654470429035,2017
2017-08,2017-08-31,176290.45117148705,0.004348782800322359,2017
2017-09,2017-09-29,183459.70832681653,0.040667302781791426,2017
2017-10,2017-10-31,188910.34724427277,0.02971027789789371,2017
2017-11,2017-11-30,194016.7202155275,0.02703066849298552,2017
2017-12,2017-12-29,197625.07342632225,0.01859815590525571,2017
2018-01,2018-01-31,198246.70777328822,0.003145523673633077,2018
2018-02,2018-02-28,189044.6862917188,-0.046417020413235366,2018
2018-03,2018-03-29,185551.7056599487,-0.018477010384624126,2018
2018-04,2018-04-30,189078.0035545482,0.01900439493163142,2018
2018-05,2018-05-31,191964.19448805356,0.015264551556747996,2018
2018-06,2018-06-29,195492.36224089054,0.01837930121419884,2018
