entry_date,exit_date,holding_days,exit_reason,exit_conditions,multiple_exit_conditions,quantity,entry_raw_price_usd,exit_raw_price_usd,entry_usdjpy,exit_usdjpy,gross_pnl_jpy,net_pnl_jpy,gross_return,net_return,usd_asset_return,fx_contribution,commission_jpy,slippage_jpy,fx_cost_jpy,mfe,mae
2007-10-22,2007-10-29,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True,1.7871424296765688,121.76558918,125.912784781,114.55999755859376,114.20999908447266,772.4909465441633,627.5429466310925,0.030899637861766527,0.025101717865243733,0.03405884724024455,-0.003159209378478023,66.83067160324916,25.314840914097275,50.629681828198635,0.036966401927401416,-0.006274103306130652
2007-11-06,2007-11-08,2,STOP_LOSS,STOP_LOSS,False,1.778552540662992,123.401563776,121.053940231,114.3000030517578,112.61000061035156,-844.6913232037514,-980.2182721002973,-0.033528647164307035,-0.03896421370916969,-0.019024260902085754,-0.01450438626222128,65.11767145179273,24.665574364857612,49.331148729722386,0.007781936947419021,-0.03886052466754952
2009-06-17,2009-06-23,4,STOP_LOSS,STOP_LOSS,False,3.4356825764300254,74.927636496,73.185323552,96.5,95.8499984741211,-745.271861164485,-879.1078362374174,-0.02983241356153743,-0.035288768227697775,-0.023253275099542448,-0.006579138461994982,64.60449978964948,24.47121616305064,48.9424323261026,0.011502982136183393,-0.030506580764400715
2009-08-18,2009-08-24,4,RSI_EXIT,RSI_EXIT,False,3.235257967158853,80.596288471,84.57170674,94.43000030517578,94.37000274658205,1206.5151269887538,1055.8464663056802,0.048658373776550023,0.04276057623007801,0.04932507866575553,-0.000666704889205505,66.58436555111734,25.221650111484593,50.44330022298,0.05448138613216624,-0.0037458688656647476
2009-09-02,2009-09-10,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True,3.2888903102102023,81.618772594,84.907081532,92.70700073242188,92.12999725341795,848.6371037225435,698.7590360469985,0.03381393344528605,0.027999623053404754,0.040288634997700745,-0.006474701552414697,66.80877658580297,25.306565139223416,50.61313027845324,0.050386813009840825,-0.0026033285273037166
2009-09-25,2009-10-02,5,TIME_EXIT,TIME_EXIT,False,3.2192938645873563,85.708709084,83.451064141,90.822998046875,89.5469970703125,-1012.8867548023518,-1141.4167007416836,-0.04002014881706162,-0.045419206272331425,-0.026340904759017736,-0.013679244058043882,64.83527861051931,24.55856692907006,49.117133858138814,0.02086769174465819,-0.027113662099098157
2009-10-27,2009-10-29,2,STOP_LOSS,STOP_LOSS,False,3.069296747228753,87.549180504,86.044083876,92.1999969482422,90.56999969482422,-866.1036993500056,-993.719017262767,-0.03456644494312178,-0.03999617477190365,-0.017191441648402805,-0.01737500329471897,64.2773535579422,24.34726830834711,48.6945366166935,0.0028621118842062643,-0.025526945013397917
2009-10-29,2009-11-05,5,TIME_EXIT,TIME_EXIT,False,3.147401184711759,86.044083876,86.428537906,90.56999969482422,90.697998046875,146.24787362855204,5.667718843877083,0.005887673209358901,0.000230423909268751,0.004468105332541494,0.001419567876817407,64.94375394204653,24.599942899053985,49.19988579811023,0.015558386796493684,-0.02054866663335475
2009-12-09,2009-12-15,4,RSI_EXIT,RSI_EXIT,False,3.09635439841058,89.635048114,91.172864235,88.37999725341797,88.69000244140625,515.5408930033809,368.570227281034,0.020724233647498425,0.014983541510410037,0.017156415412910464,0.0035678182345879605,65.42764014735195,24.783324112467604,49.56664822494408,0.02157353519854044,-0.0378966384581062
2010-01-25,2010-02-01,5,TIME_EXIT,"TIME_EXIT,STOP_LOSS",True,3.0409832891516837,90.150380112,88.465326278,89.80999755859375,90.2699966430664,-341.7052483629086,-474.37059909651,-0.01366541148982181,-0.0192126915779659,-0.018691588786497904,0.005026177296676093,64.55562805345608,24.45280530004785,48.90561060009824,0.0018582034691518867,-0.02761621639044176
2010-02-09,2010-02-16,3,RSI_EXIT,RSI_EXIT,False,3.133973887344577,87.630979234,89.04609726,89.22000122070312,90.05000305175781,637.9865140383117,487.3484288670552,0.02560170012018359,0.019833576447225276,0.016148604504592212,0.009453095615591378,65.51496338830347,24.816430838888508,49.632861677784405,0.024877274800114035,-0.010016134470405946
2010-04-28,2010-05-05,5,TIME_EXIT,TIME_EXIT,False,2.7147667056012863,97.381387826,95.344599454,93.1439971923828,94.70999908447266,-111.71603085372772,-248.26119564640248,-0.004454531080606228,-0.010053614414913592,-0.020915581688354057,0.01646105060774783,64.86335208167378,24.56942412369207,49.138848247391515,0.016795256300163652,-0.02635830341025658
2010-05-07,2010-05-14,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True,2.9349579898664016,92.138089246,94.166697745,90.83000183105467,92.7770004272461,1100.36731256012,937.319741743624,0.04392462789036378,0.03805345357560497,0.02201704545428318,0.021907582436080597,66.26810551849846,25.101824843970224,50.20364968794762,0.04422220707949642,-0.02916084570787314
2010-05-19,2010-05-21,2,STOP_LOSS,STOP_LOSS,False,2.951144220055884,91.426440297,86.633034731,91.9010009765625,89.37000274658203,-1988.7685288487774,-2081.4861874384187,-0.07852565868330685,-0.08370815590571778,-0.052429095461100306,-0.026096563222206548,62.89264806882849,23.822485971822857,47.64497194364753,0.008442723256829376,-0.05782100450009586
2010-11-15,2010-11-17,2,STOP_LOSS,STOP_LOSS,False,2.986728665512195,98.632908392,96.694278496,82.41000366210938,83.16200256347656,-265.90198805368345,-396.18034206381344,-0.010709262086670335,-0.016273167961755375,-0.01965500082685634,0.008945738740186004,63.748637020044,24.147145994869867,48.29429198974829,0.003396129103558021,-0.025284173305626156
2010-11-17,2010-11-26,5,TIME_EXIT,TIME_EXIT,False,3.006778156519318,96.694278496,97.471366429,83.16200256347656,83.5199966430664,306.46101290456863,162.01997040235074,0.012375920134083396,0.006682180049434772,0.008036545130559514,0.004339375003523882,64.22569464665872,24.327989446289827,48.65597889258845,0.01793278980553037,-0.0034591028623690567
2010-12-01,2010-12-02,1,RSI_EXIT,RSI_EXIT,False,2.9235495643035936,98.322073219,99.140060517,84.25399780273438,83.6780014038086,35.42491599244386,-102.15128649833423,0.0014261640026715927,-0.004205993161875976,0.008319467554127158,-0.006893303551455565,63.98311134249357,24.23603565865082,48.47207131730953,0.019872759127031348,-0.0005829032241325693
2011-03-11,2011-03-17,4,STOP_LOSS,STOP_LOSS,False,2.7568194121602536,105.945714836,104.702374144,82.83300018310547,81.05599975585938,-818.4158956868232,-931.0507091624495,-0.03293668459899157,-0.038375580421960986,-0.011735639274553344,-0.021201045324438228,62.81899898457416,23.794876161172063,47.58975232234866,0.013313602623682641,-0.03321964712056191
2011-03-17,2011-03-23,4,RSI_EXIT,RSI_EXIT,False,2.8233629922804138,104.702374144,105.463102331,81.05599975585938,81.20899963378906,225.90552088679397,83.88998172025822,0.009166921856782473,0.0034912296155873435,0.007265624998662901,0.0019012968581195722,63.54733966914703,24.071016908478576,48.142033816964116,0.015195527227026773,-0.007527486264508387
2011-04-13,2011-04-20,5,TIME_EXIT,TIME_EXIT,False,2.6228856518098804,108.039762319,108.694152158,84.62999725341797,82.33399963378906,-524.559963630265,-643.136404950932,-0.02123722058037225,-0.02674191578272922,0.006056935196393942,-0.027294155776766194,62.64080044708682,23.727448598609453,47.4548971972243,0.009413524618430813,-0.019947930336702613
2011-05-06,2011-05-13,5,RSI_EXIT,"RSI_EXIT,TIME_EXIT",True,2.6763093240107945,110.379205992,110.550983324,80.63999938964844,81.01000213623047,151.14081598467965,11.776811923067726,0.006151715533331714,0.0004929812232428166,0.0015562472157342189,0.004595468317597495,63.08282407370869,23.895045755018554,47.79009151004473,0.008166437006740468,-0.013239785921029146
2011-05-18,2011-05-25,5,TIME_EXIT,TIME_EXIT,False,2.7060252048608526,108.988627585,107.499890703,80.78199768066406,81.95700073242188,16.907560711311817,-118.04725110732397,0.000687112796463385,-0.004940887843423947,-0.013659561689947308,0.014346674486410693,62.91883046824892,23.832894421445012,47.66578884289565,0.012927940109014102,-0.014452545565003194
2011-05-26,2011-06-01,2,RSI_EXIT,RSI_EXIT,False,2.6853671043492833,107.998862954,110.027471453,82.0479965209961,80.87999725341797,105.35073886898317,-32.633208311654016,0.004280653461029793,-0.0013675577410808826,0.018783609785447908,-0.014502956324418115,62.95392759758748,23.846210160890198,47.692420321786614,0.021378275498914245,-0.0025437179118537045
2011-06-07,2011-06-14,5,TIME_EXIT,TIME_EXIT,False,2.794944073533071,106.09295255,105.414023093,80.22000122070312,80.33999633789062,-121.04595999434605,-250.6993435084114,-0.004913130126764198,-0.010509634237563792,-0.006399383188813057,0.001486253062048859,62.64387275163594,23.72871046131246,47.45742092263028,0.0023515613024962523,-0.0209213049634146
2011-07-15,2011-08-02,4,STOP_LOSS,STOP_LOSS,False,2.7913370141070843,107.696207654,107.02545807,78.91999816894531,77.21299743652344,-682.1782304795306,-789.6700903955352,-0.02772295934528146,-0.03319117786931203,-0.006228163448010693,-0.02149479589727077,61.765314085974,23.395787875936854,46.791575751880025,0.0010944702380297766,-0.03185275052238368
2011-08-02,2011-08-05,3,STOP_LOSS,STOP_LOSS,False,2.8471052565541672,107.02545807,99.598133404,77.21299743652344,77.11199951171875,-1725.5788309017735,-1789.4272321033022,-0.07061500551978273,-0.07584199333320496,-0.06939773769659707,-0.0012172678231856526,59.92137989436135,22.69707703056929,45.39415406114502,0.00041694224955524106,-0.10729441149184571
2012-03-07,2012-03-13,4,RSI_EXIT,RSI_EXIT,False,2.562953437607649,110.477364467,113.144003059,81.51799774169922,82.37300109863281,837.274333078909,672.6181616591384,0.034879108831243455,0.02905880774788905,0.024137420410644594,0.01074168842059886,61.997809827735516,23.48422014129652,46.96844028260044,0.0370203614334661,-0.0014618042607332793
2012-03-23,2012-03-27,2,RSI_EXIT,RSI_EXIT,False,2.4510731894393594,114.002889722,115.941519618,83.2030029296875,82.58899688720703,230.03612976918157,89.11960651031768,0.00949998935257379,0.003822423894410676,0.017005094350918792,-0.0075051049983450024,61.66973088467991,23.35980176440928,46.71960352882583,0.017142286286058406,-0.0063804289344476794
2012-04-10,2012-04-17,5,TIME_EXIT,TIME_EXIT,False,2.535752777678084,112.841347759,112.751369156,81.33000183105469,80.9020004272461,-146.98366995516335,-271.7806646599565,-0.006055721972561434,-0.011645799991172323,-0.0007973903607760846,-0.00525833161178535,61.25105378254198,23.201121504250043,46.40224300849953,0.009716236479666573,-0.01636713358048414
2012-04-25,2012-04-26,1,RSI_EXIT,RSI_EXIT,False,2.523361671834421,113.413938867,113.610255819,81.08000183105469,81.38999938964844,134.7702777336999,-2.1980679814769246,0.00556094953865971,-9.446222299858142e-05,0.0017309772851661354,0.0038299722534935743,61.428354184680394,23.268348237876413,46.53669647575667,0.01153894744244166,-0.0013648062394632232
