signal_date,selected,JPY_CASH_weight,QUAL_weight,VLUE_weight,USMV_weight,SPY_weight,QQQ_weight
2013-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2014-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2014-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2015-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2015-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2016-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2016-12-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2017-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2017-12-29,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2018-06-29,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2018-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2019-06-28,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2019-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2020-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2020-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2021-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2021-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2022-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2022-12-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2023-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2023-12-29,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2024-06-28,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2024-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2025-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2025-12-31,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
2026-06-30,"QUAL,USMV",0.0,0.5,0.0,0.5,0.0,0.0
