date,cash_jpy,equity_jpy,SPY_value_jpy,SPY_weight,QQQ_value_jpy,QQQ_weight,GLD_value_jpy,GLD_weight,IEF_value_jpy,IEF_weight,market_weight
2007-01-03,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-04,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-08,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-09,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-10,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-11,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-12,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-17,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-23,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-29,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-30,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,99633.57056132155,25092.242120487408,0.2518452563641074,24868.40654726583,0.24959866847249093,24924.52747916318,0.25016194179072265,24748.39441440513,0.24839413337267902,1.0
2007-02-02,0.0,99682.57009677816,25195.58573193091,0.25275818738892303,25017.210917032913,0.2509687590593282,24632.402328530166,0.24710841930154356,24837.37111928418,0.24916463425020527,1.0
2007-02-05,0.0,98931.66113671965,25006.96818934472,0.2527701233560213,24800.145475801986,0.25067956194053154,24452.656522877252,0.24716714792734196,24671.890948695687,0.24938316677610525,1.0
2007-02-06,0.0,99035.13642784578,24984.737215069716,0.2522815448764782,24731.18318399964,0.24972130171212606,24606.47194142237,0.2484620391203273,24712.744087354054,0.24953511429106848,1.0
2007-02-07,0.0,99761.3450371708,25151.50678067763,0.2521167569593839,25077.165304515896,0.2513715637572069,24655.09238963748,0.24714073753166682,24877.580562339805,0.2493709417517425,1.0
2007-02-08,0.0,100520.55166686999,25232.123767880483,0.25101457711355357,25184.728066009822,0.25054307450951163,25107.576237792415,0.24977555158073692,24996.123595187262,0.24866679679619783,1.0
2007-02-09,0.0,100613.34462842614,25164.132057228293,0.2501073008770519,24951.26820546137,0.24799163865994692,25458.821611798692,0.25303623198115854,25039.12275393779,0.24886482848184258,1.0
2007-02-12,0.0,100288.82603712656,25090.830972319334,0.2501857082565788,24882.270426662835,0.24810610922348925,25298.018411017118,0.25225161576477007,25017.706227127284,0.24945656675516192,1.0
2007-02-13,0.0,100226.90768663041,25198.577474938946,0.25141529412166297,24872.631367397047,0.24816321226994104,25259.362275663396,0.2520217659976037,24896.33656863101,0.2483997276107922,1.0
2007-02-14,0.0,100366.76949906515,25163.272340001207,0.2507131839112903,25100.29817204556,0.25008574349181734,25261.12742506184,0.2516881588511936,24842.07156195655,0.24751291374569884,1.0
2007-02-15,0.0,99834.11489379186,25003.434737484597,0.2504498063020282,25056.38915941016,0.2509802304158884,25083.06618906923,0.2512474439799837,24691.22480782788,0.24732251930209972,1.0
2007-02-16,0.0,99761.61770762307,24995.61775914541,0.2505534526555239,24975.171003802967,0.2503484965229723,25068.38078607023,0.2512828216112085,24722.448158604457,0.24781522921029522,1.0
2007-02-20,0.0,100146.6833063895,25175.69970287737,0.25138825242823715,25296.30030788699,0.2525924920598249,24796.729528796397,0.2476041014052667,24877.953766828752,0.24841515410667128,1.0
2007-02-21,0.0,101739.55497507799,25359.315710217787,0.24925719123137285,25572.012397167044,0.2513477909691185,25741.57701881648,0.2530144448255362,25066.64984887668,0.24638057297397242,1.0
2007-02-22,0.0,102202.02370718209,25455.44569903423,0.24906987920284585,25821.55879993393,0.2526521282388204,25808.676583816195,0.25252608165333745,25116.342624397737,0.24575191090499635,1.0
2007-02-23,0.0,101993.06058132544,25272.492624587387,0.24778639331482802,25644.149496016063,0.25143033604299364,25942.057012969406,0.2543511966903296,25134.36144775258,0.24643207395184877,1.0
