entry_date,exit_date,exit_reason,return_pct,gross_return_pct,pnl,gross_pnl,commission_cost,slippage_cost,mae_pct,mfe_pct
2019-03-08,2019-03-14,RSI_EXIT,0.02714030375669235,0.030885908991795077,4.749553157421161,5.4050340735641385,0.4682785017176788,0.17737956915038225,-0.002403978634499704,0.03406932131689544
2019-05-08,2019-05-14,STOP_LOSS,-0.022830933087874858,-0.019267554687455776,-4.022522472961697,-3.3978575177047503,0.4598187677646526,0.17417292853571398,-0.026918565200342193,0.006104953643913502
2019-05-14,2019-05-21,RSI_EXIT,0.009934641690636228,0.013617504165404824,1.7403679931983902,2.389896412723374,0.4647809682543155,0.1760539923667263,-0.002732755400577269,0.02509119921256109
2019-05-24,2019-06-03,TIME_EXIT,-0.03323573405503892,-0.02971029816045887,-5.836754911196408,-5.231961765312775,0.455914591068301,0.17269361882251547,-0.03801535476580353,0.0011206421869154326
2019-06-28,2019-07-02,RSI_EXIT,0.006685129216642652,0.010356141907219694,1.1642664674629373,1.8101632770495257,0.46131588903761345,0.17474131714060132,-0.00244696163287883,0.014326386603608965
2019-07-22,2019-07-25,RSI_EXIT,0.007515100856832032,0.011189140150599651,1.3109997819479986,1.9608276470663384,0.46227825022620456,0.1751058849089202,-0.0024140511964337863,0.012363009721157114
2019-08-02,2019-08-06,STOP_LOSS,-0.03055579738140419,-0.027020588737378465,-5.340434633646794,-4.7484368310599905,0.45435201338370423,0.17210185687740648,-0.04175868505960201,0.00041862682600690704
2019-08-06,2019-08-13,RSI_EXIT,0.002743974839840106,0.006400615581023371,0.4759187522996342,1.1172077122434985,0.45851505466276943,0.17368022197652422,-0.014028713667228354,0.028306105071986387
2019-09-25,2019-10-02,TIME_EXIT,-0.018648235170867375,-0.015069604000055125,-3.2365941957928612,-2.634561877886995,0.45392216726259726,0.1719395621890759,-0.03197475461537558,0.007926230154471137
2019-10-03,2019-10-10,RSI_EXIT,0.008033185092517638,0.01170911365011617,1.3877423644314888,2.039347962422738,0.45789820372473866,0.17344679406150737,-0.010883356487568663,0.0253724463293985
2020-01-28,2020-02-04,TIME_EXIT,0.005592799592748685,0.009259828956468739,0.9681031821538397,1.6174829833586841,0.45825945941479757,0.17358352855274803,-0.013813710874989171,0.014720597617876141
