dimension,parameter,value,net_return,cagr,sharpe,trades,selection_allowed
lookback,volatility_lookback_days,50.0,4.750251687243704,0.09334945288323171,0.6936521829564877,691,False
lookback,volatility_lookback_days,76.0,4.3321876167748,0.08914698421316936,0.6662915027846349,690,False
weight_cap,maximum_asset_weight,0.4,4.7014832371197,0.09287444284806501,0.678839367883637,690,False
weight_cap,maximum_asset_weight,0.5,4.37526407532822,0.08959418206231518,0.6778901376359024,688,False
rebalance_threshold,rebalance_threshold,0.04,4.510479853367998,0.09097615487324595,0.6776808304657312,688,False
rebalance_threshold,rebalance_threshold,0.06,4.473685547620693,0.09060331352572026,0.6752057550794918,690,False
