month,spy_momentum,spy_jpy_price,spy_sma,spy_above_sma,spy_eligible,spy_rank,spy_weight,spy_holding_weight,spy_jpy_return,spy_approx_contribution,qqq_momentum,qqq_jpy_price,qqq_sma,qqq_above_sma,qqq_eligible,qqq_rank,qqq_weight,qqq_holding_weight,qqq_jpy_return,qqq_approx_contribution,gld_momentum,gld_jpy_price,gld_sma,gld_above_sma,gld_eligible,gld_rank,gld_weight,gld_holding_weight,gld_jpy_return,gld_approx_contribution,ief_momentum,ief_jpy_price,ief_sma,ief_above_sma,ief_eligible,ief_rank,ief_weight,ief_holding_weight,ief_jpy_return,ief_approx_contribution,jpy_cash_weight,strategy_return,portfolio_equity,usd_jpy,signal_date
2021-01,0.12237603737242053,35836.75600591414,32516.981430626824,True,True,2,0.5,0.0,0.0010398217726703685,0.0,0.3853780078710809,31716.258223810164,27763.250907447316,True,True,1,0.5,0.512723295666005,0.013992489062658597,0.007174275106776846,0.10720892859690001,18001.66957321167,18226.98311911774,False,False,,0.0,0.487276704333995,-0.021258063662293547,-0.010358559201884656,0.007455503246076134,10625.860074794155,10922.893349089769,False,False,,0.0,0.0,0.0002709334868571389,0.0,0.0,-0.013261035531253906,237143.1412046128,104.29100036621094,2021-01-29
2021-02,0.26871721176351504,37570.650080887775,33434.67463820975,True,True,2,0.5,0.5003050441061114,0.04838312024357028,0.02420631910745072,0.49182954008586566,32307.995977025785,28750.279699749964,True,True,1,0.5,0.4996949558938885,0.01865723721379564,0.009322927326649428,0.0578829791822808,17213.18563446045,18255.3348728714,False,False,,0.0,0.0,-0.043800600580102156,-0.0,-0.0326296502259672,10581.70892262525,10874.87870151151,False,False,,0.0,0.0,-0.004155066211876446,-0.0,0.0,0.03368040247528614,245130.21764463774,106.37899780273438,2021-02-26
2021-03,0.5951396854320397,40725.83223944902,34503.780505073315,True,True,2,0.5,0.5071203831377219,0.0839799724457333,0.0425879558025756,0.7235003812133445,34075.301064972315,29742.482674094957,True,True,1,0.5,0.49287961686227816,0.054701786183310785,0.02696139541571248,0.10314777382137241,17644.387848815917,18266.16158154297,False,False,,0.0,0.0,0.025050692156146193,0.0,-0.041965798130674914,10709.728504913093,10825.280613936391,False,False,,0.0,0.0,0.012098195407182155,0.0,0.0,0.06932026038073924,262122.7081589513,110.30500030517578,2021-03-31
2021-04,0.4910347639129917,42336.020622284545,35682.14277953729,True,True,2,0.5,0.49844442657319543,0.0395372738700186,0.019707133802408804,0.5879837586065506,35630.71597010625,30739.38628944484,True,True,1,0.5,0.5015555734268045,0.045646402424095456,0.022894207542687874,0.06564620319143688,18041.036528778077,18269.531465713502,False,False,,0.0,0.0,0.022480161021215528,0.0,-0.03453389341146307,10679.846463146203,10772.764757457428,False,False,,0.0,0.0,-0.002790177337659072,-0.0,0.0,0.04251716685665485,273267.4230786637,108.90399932861328,2021-04-30
2021-05,0.4306125719003837,42968.12466458698,36831.1974095778,True,True,2,0.5,0.5061367551617584,0.014930643764135887,0.00755694758725588,0.46958352924313695,35495.24971145002,31608.354876827223,True,True,1,0.5,0.49386324483824157,-0.003801951629876843,-0.001877644168649019,0.11699328193626579,19587.72908248901,18287.16752986145,True,True,3,0.0,0.0,0.08573191186901785,0.0,-0.034909458403862836,10814.524135154217,10754.654355548106,True,False,,0.0,0.0,0.012610450203826229,0.0,0.0,0.0055500400432821895,274784.0682192748,109.80899810791016,2021-05-28
2021-06,0.44742265268536774,44222.23278195934,37858.5524761174,True,True,2,0.5,0.4949989195215361,0.02918694095127572,0.014447504235020356,0.4795352886602886,37967.360854972154,32406.509025067273,True,True,1,0.5,0.505001080478464,0.06964625305128314,0.03517143304217451,0.01669180501336398,18307.912656555174,18167.355322830197,True,True,3,0.0,0.0,-0.06533766219372328,-0.0,-0.01850847772604558,10997.617441956043,10756.684524776138,True,False,,0.0,0.0,0.016930315612006863,0.0,0.0,0.049426912493198305,288365.79631367396,110.53500366210938,2021-06-30
2021-07,0.4245162643416269,44840.32234186532,39070.83637073613,True,True,2,0.5,0.498211706602345,0.013976896258348415,0.006963453337875694,0.442079229924184,38655.74685664753,33439.43153774313,True,True,1,0.5,0.501788293397655,0.01813099425859166,0.009097920666621389,-0.04283740448160456,18579.835799560544,18153.81810884094,True,False,,0.0,0.0,0.014852766020161612,0.0,0.009748148368047937,11102.815168894937,10764.280483011655,True,True,3,0.0,0.0,0.009565501572873725,0.0,0.0,0.015994749216718285,292978.13490839046,109.40899658203124,2021-07-30
2021-08,0.3667852027829712,46400.556370901504,40554.232767895046,True,True,1,0.5,0.5000173918468894,0.0347953348136274,0.017398272561949243,0.35008828249293233,40483.50337585861,34770.354207459095,True,True,2,0.5,0.4999826081531106,0.04728291826799258,0.02364063679672129,-0.043557664965558796,18656.39740142822,18177.216353927615,True,False,,0.0,0.0,0.004120682372741324,0.0,0.012359384285046238,11112.988613444255,10799.581368035206,True,True,3,0.0,0.0,0.000916294146535046,0.0,0.0,0.041028881888208746,304998.7002013745,109.94400024414062,2021-08-31
2021-09,0.376620640506661,45039.56294792435,41573.95889300327,True,True,1,0.5,0.5004061429666712,-0.029331403099956188,-0.01467761429304974,0.37237326950907024,38874.561240267394,35648.52861304961,True,True,2,0.5,0.4995938570333288,-0.03974315465372169,-0.01985543592412491,-0.017797211319648065,18382.129428863525,18280.69459060669,True,False,,0.0,0.0,-0.014701014706285154,-0.0,0.009642487904663932,11133.181908159459,10838.125318634036,True,True,3,0.0,0.0,0.0018170894812916671,0.0,0.0,-0.03454438377697788,294462.7080501388,111.93599700927734,2021-09-30
2021-10,0.5498381475436069,48923.10908841441,42886.31671441875,True,True,2,0.5,0.5008031760587082,0.08622521814832651,0.04318186310503688,0.5662236262324047,42560.994159954535,36776.76874350647,True,True,1,0.5,0.4991968239412919,0.0948289267344482,0.04733829904359801,0.027775457412356985,18934.105952453614,18334.83899066162,True,True,4,0.0,0.0,0.030027887994487523,0.0,0.045550339555220365,11250.100495030185,10900.83717281178,True,True,3,0.0,0.0,0.010501812315222958,0.0,0.0,0.09052803448742908,321119.8382397635,113.61599731445312,2021-10-29
