year,net_return
2007,0.030490409633340043
2008,-0.1914732011436916
2009,0.1158634806053398
2010,0.017995238534511238
2011,0.045768956565864105
2012,0.1919412271719847
2013,0.2028378100125272
2014,0.2260216079724735
2015,-0.012441284871757441
2016,0.03298738739537099
2017,0.08230564083818881
2018,-0.03376672247429102
2019,0.13586346578935782
2020,0.09671879586362131
2021,0.16277991553509108
2022,0.02538344686794569
2023,0.20202410282853123
2024,0.2741909849008539
2025,0.233787656247197
2026,0.06536744736346645
