month,start_equity,end_equity,return
2018-01,700.0,700.0,0.0
2018-02,700.0,700.0,0.0
2018-03,700.0,700.0,0.0
2018-04,700.0,700.0,0.0
2018-05,700.0,700.0,0.0
2018-06,700.0,700.0,0.0
2018-07,700.0,700.0,0.0
2018-08,700.0,700.0,0.0
2018-09,700.0,700.0,0.0
2018-10,700.0,700.0,0.0
2018-11,700.0,700.0,0.0
2018-12,700.0,700.0,0.0
2019-01,700.0,700.0,0.0
2019-02,700.0,700.0,0.0
2019-03,700.0,704.7495531574211,0.006785075939172991
2019-04,704.7495531574211,704.7495531574211,0.0
2019-05,704.7495531574211,696.9153820403662,-0.011116248434576814
2019-06,696.6306437664612,696.5636879448983,-9.611380458496299e-05
2019-07,698.1441701138396,699.105910015872,0.0013775663297104224
2019-08,699.105910015872,694.241394134525,-0.006958195906592524
2019-09,694.241394134525,694.4001205022861,0.0002286328200855614
2019-10,692.3337784385446,692.3925423031635,8.487793958478207e-05
2019-11,692.3925423031635,692.3925423031635,0.0
2019-12,692.3925423031635,692.3925423031635,0.0
2020-01,692.3925423031635,690.3079220805873,-0.0030107490985415986
2020-02,691.5783112318406,673.0137569720117,-0.026843748507326293
2020-03,673.0137569720117,673.0137569720117,0.0
2020-04,673.0137569720117,673.0137569720117,0.0
2020-05,673.0137569720117,673.0137569720117,0.0
2020-06,673.0137569720117,682.2649567739378,0.01374592971702171
2020-07,682.2649567739378,682.2649567739378,0.0
2020-08,682.2649567739378,682.2649567739378,0.0
2020-09,682.2649567739378,686.7052413499031,0.006508152781231846
2020-10,686.7052413499031,683.7346425320659,-0.004325871769957246
2020-11,685.646302233822,695.2592416689296,0.014020260014221408
2020-12,695.2592416689296,696.1780115752111,0.0013214781641393003
2021-01,696.1780115752111,695.1346098677034,-0.001498757056613842
2021-02,697.9870033007761,698.5074253560501,0.0007456042201545721
2021-03,702.6990854588298,705.6648592727871,0.004220545999459757
2021-04,705.6648592727871,705.6648592727871,0.0
2021-05,705.6648592727871,705.6648592727871,0.0
2021-06,705.6648592727871,708.4356313128671,0.003926470198523768
2021-07,708.4356313128671,713.442435275414,0.007067408443683698
2021-08,713.442435275414,715.9996109359333,0.003584277489090182
2021-09,715.9996109359333,715.4016220012301,-0.0008351805302262427
2021-10,716.4269817776667,718.2663491917871,0.0025674178400656444
2021-11,718.2663491917871,714.6531505707642,-0.005030443964260001
2021-12,712.6987995596328,718.8992512699672,0.008699960929028583
2022-01,718.8992512699672,713.3525770341408,-0.007715509824259614
2022-02,713.3525770341408,713.3525770341408,0.0
2022-03,713.3525770341408,713.3525770341408,0.0
2022-04,713.3525770341408,709.1817369093237,-0.005846814407200918
2022-05,709.1817369093237,709.1817369093237,0.0
2022-06,709.1817369093237,709.1817369093237,0.0
2022-07,709.1817369093237,709.1817369093237,0.0
2022-08,709.1817369093237,709.1817369093237,0.0
2022-09,709.1817369093237,709.1817369093237,0.0
2022-10,709.1817369093237,709.1817369093237,0.0
2022-11,709.1817369093237,709.1817369093237,0.0
2022-12,709.1817369093237,709.1817369093237,0.0
2023-01,709.1817369093237,709.1817369093237,0.0
2023-02,709.1817369093237,707.4154641648224,-0.0024905784407236453
2023-03,706.7202820282155,706.7202820282155,0.0
2023-04,706.7202820282155,710.3927657835721,0.005196516710709087
2023-05,709.8655441879398,710.5353026652224,0.0009435004738098662
2023-06,710.5353026652224,711.2563121900082,0.0010147413113483772
2023-07,711.2563121900082,713.6069569465675,0.00330491936067534
2023-08,713.6069569465675,709.4385081821026,-0.005841379100760324
2023-09,709.4385081821026,709.346033592167,-0.0001303489856683271
2023-10,709.346033592167,706.1541274714455,-0.004499787084954243
2023-11,706.1541274714455,706.1541274714455,0.0
2023-12,706.1541274714455,706.1541274714455,0.0
2024-01,706.1541274714455,709.0020908470227,0.004033061997067211
2024-02,709.0020908470227,709.0020908470227,0.0
2024-03,709.0020908470227,709.0020908470227,0.0
2024-04,709.0020908470227,706.5795882119158,-0.0034167778436489105
2024-05,706.5795882119158,706.5795882119158,0.0
2024-06,706.5795882119158,706.5795882119158,0.0
2024-07,706.5795882119158,704.9731411708242,-0.002273554271723266
2024-08,705.2174382409207,710.4332181125855,0.007395988228360961
2024-09,710.4332181125855,713.1539807276508,0.0038297232529380665
2024-10,713.1539807276508,710.3656466609834,-0.003909862585107393
2024-11,709.9560225390942,719.8579313582306,0.013947214341140768
2024-12,719.8579313582306,721.6876007698522,0.0025417090399619813
2025-01,721.6876007698522,722.887248899553,0.001662281752410788
2025-02,722.887248899553,719.6165680480846,-0.00452446886626845
2025-03,716.4343153318525,712.1825502116885,-0.00593461958643704
2025-04,712.1825502116885,712.1825502116885,0.0
2025-05,712.1825502116885,712.4013411515128,0.0003072118795375278
2025-06,712.4013411515128,712.4013411515128,0.0
2025-07,712.4013411515128,712.4013411515128,0.0
2025-08,712.4013411515128,716.6209628170706,0.005923096184430543
2025-09,716.6209628170706,716.6209628170706,0.0
2025-10,716.6209628170706,717.7722232688058,0.001606512384468184
2025-11,717.7722232688058,720.8344775895092,0.004266331604137141
2025-12,720.8344775895092,722.3900245148673,0.002157980748312527
2026-01,721.3940637218827,727.390583184067,0.008312404778113347
2026-02,727.390583184067,731.66213003833,0.005872425287064775
2026-03,731.66213003833,731.5417724030038,-0.000164498927011425
2026-04,731.5417724030038,731.5417724030038,0.0
2026-05,731.5417724030038,731.5417724030038,0.0
2026-06,731.5417724030038,734.9286995193359,0.004629847869392911
2026-07,734.1517297374097,733.454897265412,-0.0009491668326476743
2026-08,733.454897265412,733.454897265412,0.0
