segment,total_return,cagr,max_drawdown,sharpe,sortino,calmar,volatility,best_year,best_year_return,worst_year,worst_year_return,positive_year_pct,total_return_jpy,start_date,end_date,time_in_market,number_of_trades,number_of_rebalances,turnover,total_commission_jpy,total_commission_usd,total_slippage_jpy,total_fx_cost_jpy
Development,1.107179107809368,0.06412732940909338,-0.23322137911489516,0.5101543626061397,0.5962344706759994,0.2749633402069088,0.14310078087868702,2013,0.6158172987672204,2008,-0.10288396112669895,0.4166666666666667,1.107179107809368,2007-01-03,2018-12-31,0.7758851035404142,232,117,25.883223526153177,4908.5922917075295,50.19402844883179,1837.950801564347,0.0
Out of Sample,2.5269403802889587,0.18031394419239466,-0.25498508574363177,1.0181604478067316,1.3507151332325815,0.7071548662014165,0.1791035065499,2024,0.43505708057754267,2022,-0.1792173534060968,0.875,2.5269403802889587,2019-01-02,2026-08-10,0.989010989010989,211,91,32.376544737880906,7515.315273390388,56.78862151990651,2831.1460034868687,0.0
